Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,17.0,17.0,16.75,16.950001,16.950001,698,1.0
2019-01-03,16.85,16.85,16.75,16.75,16.75,15020,1.0
2019-01-04,16.75,16.85,16.75,16.85,16.85,8608,1.0
2019-01-07,16.85,17.0,16.700001,16.700001,16.700001,5988,1.0
2019-01-08,16.85,17.0,16.85,16.85,16.85,7410,1.0
2019-01-09,16.75,17.0,16.75,17.0,17.0,19727,1.0
2019-01-10,16.9,16.950001,16.9,16.9,16.9,23845,1.0
2019-01-11,16.950001,16.950001,16.950001,16.950001,16.950001,1630,1.0
2019-01-14,16.799999,16.799999,16.799999,16.799999,16.799999,20,1.0
2019-01-15,16.799999,16.799999,16.799999,16.799999,16.799999,1400,1.0
2019-01-16,16.6,16.6,16.6,16.6,16.6,10275,1.0
2019-01-17,16.6,16.6,16.6,16.6,16.6,128,1.0
2019-01-18,17.0,17.0,17.0,17.0,17.0,16,1.0
2019-01-21,17.0,17.0,17.0,17.0,17.0,0,1.0
2019-01-22,16.5,16.6,16.5,16.6,16.6,105,1.0
2019-01-23,16.6,16.6,16.6,16.6,16.6,361,1.0
2019-01-24,16.6,16.6,16.6,16.6,16.6,235,1.0
2019-01-25,16.4,16.4,16.4,16.4,16.4,400,1.0
2019-01-28,16.4,16.4,15.75,15.9,15.9,12000,1.0
2019-01-29,16.1,16.75,16.1,16.65,16.65,2440,1.0
2019-01-30,16.15,16.65,16.15,16.65,16.65,4000,1.0
2019-01-31,16.5,16.75,16.5,16.75,16.75,1805,1.0
2019-02-01,16.75,16.75,16.4,16.700001,16.700001,6024,1.0
2019-02-04,16.700001,16.75,15.85,15.85,15.85,6207,1.0
2019-02-05,16.35,16.65,16.200001,16.65,16.65,887,1.0
2019-02-06,16.65,16.65,16.1,16.299999,16.299999,7608,1.0
2019-02-07,16.299999,16.299999,16.1,16.1,16.1,1449,1.0
2019-02-08,16.049999,16.049999,16.0,16.0,16.0,2116,1.0
2019-02-11,16.0,16.200001,16.0,16.200001,16.200001,2041,1.0
2019-02-12,16.200001,16.200001,16.049999,16.049999,16.049999,869,1.0
2019-02-13,16.049999,16.049999,16.049999,16.049999,16.049999,1015,1.0
2019-02-14,16.049999,16.049999,16.049999,16.049999,16.049999,7,1.0
2019-02-15,16.35,16.6,16.35,16.6,16.6,2100,1.0
2019-02-18,16.4,16.6,16.4,16.6,16.6,5712,1.0
2019-02-19,16.6,16.6,16.6,16.6,16.6,0,1.0
2019-02-20,16.299999,16.700001,16.299999,16.5,16.5,10730,1.0
2019-02-21,16.5,16.5,16.5,16.5,16.5,0,1.0
2019-02-22,16.25,16.75,16.25,16.75,16.75,5824,1.0
2019-02-25,16.5,16.6,16.0,16.6,16.6,17158,1.0
2019-02-26,16.200001,16.200001,16.200001,16.200001,16.200001,895,1.0
2019-02-27,16.200001,16.4,16.200001,16.4,16.4,3110,1.0
2019-02-28,16.65,16.65,16.200001,16.200001,16.200001,89,1.0
2019-03-01,16.200001,16.200001,16.200001,16.200001,16.200001,120,1.0
2019-03-04,16.299999,16.299999,16.299999,16.299999,16.299999,63,1.0
