Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,6.95,6.95,6.82,6.93,6.93,2255618,1.0
2019-01-03,6.9,7.0,6.83,6.83,6.83,1900688,1.0
2019-01-04,6.915,7.14,6.875,7.105,7.105,3460520,1.0
2019-01-07,7.19,7.23,7.115,7.135,7.135,1122845,1.0
2019-01-08,7.195,7.2,7.055,7.06,7.06,628399,1.0
2019-01-09,7.125,7.4,7.125,7.36,7.36,1384371,1.0
2019-01-10,7.4,7.46,7.155,7.45,7.45,811280,1.0
2019-01-11,7.5,7.61,7.35,7.385,7.385,1168497,1.0
2019-01-14,7.3,7.33,7.215,7.23,7.23,873178,1.0
2019-01-15,7.26,7.39,7.22,7.385,7.385,926389,1.0
2019-01-16,7.385,7.385,7.235,7.27,7.27,802810,1.0
2019-01-17,7.27,7.34,7.195,7.3,7.3,1253244,1.0
2019-01-18,7.315,7.65,7.315,7.6,7.6,1367039,1.0
2019-01-21,7.8,8.1,7.705,8.0,8.0,2057487,1.0
2019-01-22,8.02,8.055,7.67,7.77,7.77,1237658,1.0
2019-01-23,7.8,7.85,7.64,7.805,7.805,848361,1.0
2019-01-24,7.8,7.8,7.58,7.585,7.585,633142,1.0
2019-01-25,7.695,7.76,7.59,7.675,7.675,743333,1.0
2019-01-28,7.61,7.67,7.53,7.545,7.545,940132,1.0
2019-01-29,7.52,8.045,7.52,7.97,7.97,1653415,1.0
2019-01-30,7.975,8.24,7.96,8.24,8.24,1733919,1.0
2019-01-31,8.33,8.52,8.225,8.33,8.33,1186109,1.0
2019-02-01,8.395,8.395,8.09,8.29,8.29,866580,1.0
2019-02-04,8.4,8.64,8.34,8.585,8.585,1459386,1.0
2019-02-05,8.585,8.65,8.35,8.42,8.42,1331941,1.0
2019-02-06,8.425,8.595,8.355,8.49,8.49,879438,1.0
2019-02-07,9.0,9.45,8.945,9.0,9.0,5336993,1.0
2019-02-08,9.0,9.0,8.5,8.5,8.5,1759013,1.0
2019-02-11,8.6,8.63,8.22,8.22,8.22,1492408,1.0
2019-02-12,8.25,8.31,8.15,8.21,8.21,2255922,1.0
2019-02-13,8.35,8.615,8.26,8.4,8.4,3678396,1.0
2019-02-14,8.435,8.435,8.02,8.24,8.24,2047123,1.0
2019-02-15,8.215,8.34,8.2,8.25,8.25,2315978,1.0
2019-02-18,8.26,8.38,8.185,8.21,8.21,1029490,1.0
2019-02-19,8.27,8.3,8.21,8.28,8.28,1522180,1.0
2019-02-20,8.31,8.33,8.205,8.26,8.26,867408,1.0
2019-02-21,8.335,8.42,8.315,8.315,8.315,1288678,1.0
2019-02-22,8.345,8.345,8.17,8.18,8.18,1147847,1.0
2019-02-25,8.185,8.335,8.12,8.21,8.21,881196,1.0
2019-02-26,8.215,8.27,8.16,8.24,8.24,539069,1.0
2019-02-27,8.28,8.35,8.2,8.35,8.35,2536616,1.0
2019-02-28,8.34,8.35,8.22,8.34,8.34,2724705,1.0
2019-03-01,8.295,8.295,8.005,8.03,8.03,4181474,1.0
2019-03-04,7.86,7.98,7.6,7.79,7.79,1804472,1.0
2019-03-05,7.85,7.895,7.71,7.75,7.75,3584397,1.0
2019-03-06,7.75,8.05,7.7,8.05,8.05,2059777,1.0
2019-03-07,8.005,8.06,7.8,7.805,7.805,913668,1.0
2019-03-08,7.8,7.8,7.455,7.505,7.505,1988679,1.0
2019-03-11,7.51,7.63,7.465,7.52,7.52,3839040,1.0
2019-03-12,7.565,7.785,7.52,7.74,7.74,2168932,1.0
2019-03-13,7.795,7.84,7.7,7.72,7.72,1343786,1.0
2019-03-14,7.72,7.92,7.72,7.745,7.745,1181876,1.0
2019-03-15,7.75,7.83,7.525,7.62,7.62,1283256,1.0
2019-03-18,7.62,7.88,7.62,7.65,7.65,3209512,1.0
2019-03-19,7.75,8.035,7.68,7.82,7.82,2771822,1.0
2019-03-20,7.845,8.0,7.79,7.99,7.99,841869,1.0
2019-03-21,8.02,8.59,8.01,8.59,8.59,2518061,1.0
2019-03-22,8.65,8.65,8.15,8.15,8.15,1638199,1.0
2019-03-25,8.11,8.11,7.935,7.97,7.97,747181,1.0
2019-03-26,7.99,8.07,7.94,8.0,8.0,964720,1.0
2019-03-27,8.0,8.03,7.73,7.77,7.77,1358749,1.0
2019-03-28,7.77,7.8,7.66,7.685,7.685,1031287,1.0
2019-03-29,7.8,7.845,7.635,7.76,7.76,1088134,1.0
2019-04-01,7.76,7.855,7.68,7.83,7.83,1043313,1.0
2019-04-02,7.97,7.975,7.75,7.78,7.78,692719,1.0
2019-04-03,7.78,7.86,7.71,7.72,7.72,912101,1.0
2019-04-04,7.72,7.78,7.6,7.78,7.78,1092395,1.0
2019-04-05,7.78,7.84,7.7,7.725,7.725,512226,1.0
2019-04-08,7.745,8.14,7.74,8.14,8.14,1148025,1.0
2019-04-09,8.19,8.2,7.88,8.075,8.075,1558727,1.0
2019-04-10,8.16,8.63,7.955,8.62,8.62,2983710,1.0
2019-04-11,8.62,9.23,8.605,8.7,8.7,3594818,1.0
2019-04-12,8.72,8.72,8.5,8.615,8.615,1599576,1.0
2019-04-15,8.62,8.83,8.43,8.83,8.83,1434090,1.0
2019-04-16,8.84,8.9,8.555,8.72,8.72,1189879,1.0
2019-04-17,8.75,9.055,8.75,8.97,8.97,1694695,1.0
2019-04-18,8.97,9.07,8.8,8.9,8.9,651116,1.0
2019-04-23,9.155,9.21,9.04,9.19,9.19,1588645,1.0
2019-04-24,9.2,9.2,8.865,8.96,8.96,1462944,1.0
2019-04-25,8.95,9.08,8.88,9.01,9.01,872387,1.0
2019-04-26,9.01,9.07,8.755,8.9,8.9,768688,1.0
2019-04-29,8.915,8.945,8.75,8.835,8.835,796544,1.0
2019-04-30,8.78,8.8,8.65,8.705,8.705,460754,1.0
2019-05-02,8.705,8.715,8.5,8.5,8.5,895779,1.0
2019-05-03,8.5,8.67,8.435,8.67,8.67,761753,1.0
2019-05-06,8.5,8.62,8.325,8.435,8.435,1064517,1.0
2019-05-07,8.435,8.51,8.265,8.31,8.31,923834,1.0
