Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,7.48,7.5,7.44,7.5,7.5,30523,1.0
2019-01-03,7.52,7.68,7.52,7.54,7.54,9268,1.0
2019-01-04,7.62,7.7,7.52,7.62,7.62,23119,1.0
2019-01-07,7.62,7.68,7.46,7.58,7.58,20265,1.0
2019-01-08,7.58,7.66,7.44,7.48,7.48,53028,1.0
2019-01-09,7.48,7.64,7.48,7.52,7.52,32400,1.0
2019-01-10,7.66,7.66,7.56,7.66,7.66,7404,1.0
2019-01-11,7.56,7.7,7.48,7.52,7.52,35460,1.0
2019-01-14,7.46,7.62,7.46,7.48,7.48,10245,1.0
2019-01-15,7.44,7.54,7.44,7.5,7.5,11269,1.0
2019-01-16,7.5,7.5,7.44,7.5,7.5,8276,1.0
2019-01-17,7.5,7.54,7.4,7.52,7.52,27635,1.0
2019-01-18,7.54,7.54,7.42,7.52,7.52,14827,1.0
2019-01-21,7.52,7.52,7.3,7.32,7.32,63092,1.0
2019-01-22,7.4,7.4,7.2,7.3,7.3,61190,1.0
2019-01-23,7.28,7.34,7.1,7.34,7.34,15379,1.0
2019-01-24,7.38,7.44,7.34,7.34,7.34,13671,1.0
2019-01-25,7.18,7.48,7.18,7.48,7.48,9523,1.0
2019-01-28,7.42,7.44,7.28,7.28,7.28,8000,1.0
2019-01-29,7.28,7.52,7.28,7.5,7.5,15992,1.0
2019-01-30,7.5,7.56,7.48,7.56,7.56,8907,1.0
2019-01-31,7.5,7.7,7.5,7.6,7.6,18837,1.0
2019-02-01,7.62,8.1,7.62,8.02,8.02,26858,1.0
2019-02-04,8.1,8.6,8.02,8.5,8.5,40334,1.0
2019-02-05,8.5,8.54,8.22,8.4,8.4,23012,1.0
2019-02-06,8.38,8.52,8.24,8.52,8.52,9698,1.0
2019-02-07,8.5,8.52,8.36,8.4,8.4,30437,1.0
2019-02-08,8.42,8.62,8.42,8.5,8.5,32125,1.0
2019-02-11,8.52,8.9,8.52,8.74,8.74,71569,1.0
2019-02-12,8.76,8.88,8.4,8.7,8.7,75704,1.0
2019-02-13,9.0,9.0,8.6,8.7,8.7,77266,1.0
2019-02-14,8.7,8.9,8.54,8.86,8.86,99265,1.0
2019-02-15,8.86,8.98,8.7,8.88,8.88,101471,1.0
2019-02-18,8.94,8.96,8.72,8.92,8.92,60428,1.0
2019-02-19,8.92,8.92,8.72,8.8,8.8,25823,1.0
2019-02-20,8.82,8.86,8.74,8.82,8.82,17224,1.0
2019-02-21,8.9,8.9,8.74,8.74,8.74,4833,1.0
2019-02-22,8.76,8.82,8.56,8.72,8.72,44526,1.0
2019-02-25,8.72,8.72,8.22,8.44,8.44,32213,1.0
2019-02-26,8.4,8.46,8.36,8.46,8.46,23862,1.0
2019-02-27,8.58,8.58,8.3,8.4,8.4,11773,1.0
2019-02-28,8.4,8.4,8.3,8.38,8.38,16013,1.0
2019-03-01,8.5,8.5,8.12,8.2,8.2,19963,1.0
2019-03-04,8.06,8.32,8.06,8.32,8.32,39142,1.0
2019-03-05,8.38,8.42,8.22,8.32,8.32,28094,1.0
2019-03-06,8.4,8.4,8.22,8.38,8.38,882,1.0
2019-03-07,8.38,8.92,8.38,8.88,8.88,28719,1.0
2019-03-08,8.7,8.76,8.68,8.7,8.7,35675,1.0
2019-03-11,8.8,8.98,8.64,8.64,8.64,67506,1.0
2019-03-12,8.7,8.76,8.6,8.76,8.76,9922,1.0
2019-03-13,8.78,8.78,8.4,8.54,8.54,35530,1.0
2019-03-14,8.62,8.8,8.6,8.76,8.76,29253,1.0
2019-03-15,8.76,9.18,8.76,9.18,9.18,60642,1.0
2019-03-18,9.18,9.18,8.9,9.12,9.12,130120,1.0
2019-03-19,7.82,7.82,7.18,7.26,7.26,758031,1.0
2019-03-20,7.3,7.34,7.0,7.04,7.04,225756,1.0
2019-03-21,7.06,7.06,6.86,7.0,7.0,143724,1.0
2019-03-22,6.96,7.04,6.86,6.98,6.98,92051,1.0
2019-03-25,6.98,6.98,6.82,6.88,6.88,17841,1.0
2019-03-26,6.88,6.88,6.54,6.76,6.76,58768,1.0
2019-03-27,6.78,6.78,6.5,6.5,6.5,18122,1.0
2019-03-28,6.56,6.66,6.38,6.44,6.44,61466,1.0
