Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,41.0,41.0,39.900002,40.299999,40.299999,10009,1.0
2019-01-03,40.0,40.5,39.900002,40.400002,40.400002,3644,1.0
2019-01-04,40.400002,40.400002,39.5,40.299999,40.299999,21572,1.0
2019-01-07,39.299999,40.299999,39.299999,40.0,40.0,12414,1.0
2019-01-08,39.799999,40.0,38.700001,39.0,39.0,87538,1.0
2019-01-09,39.0,39.900002,39.0,39.900002,39.900002,4226,1.0
2019-01-10,39.799999,39.799999,38.799999,39.299999,39.299999,15591,1.0
2019-01-11,39.299999,39.299999,38.599998,38.700001,38.700001,4049,1.0
2019-01-14,38.700001,39.0,38.099998,38.5,38.5,8885,1.0
2019-01-15,38.5,40.900002,38.5,39.900002,39.900002,13631,1.0
2019-01-16,40.099998,40.200001,38.799999,40.0,40.0,14362,1.0
2019-01-17,40.0,40.0,39.299999,39.700001,39.700001,2523,1.0
2019-01-18,39.700001,39.700001,38.700001,39.5,39.5,14170,1.0
2019-01-21,39.5,39.5,38.299999,38.299999,38.299999,3990,1.0
2019-01-22,38.200001,39.0,36.099998,38.0,38.0,56451,1.0
2019-01-23,38.0,38.200001,37.900002,38.200001,38.200001,31088,1.0
2019-01-24,37.799999,38.900002,37.799999,38.0,38.0,22205,1.0
2019-01-25,37.799999,38.299999,37.799999,38.099998,38.099998,32358,1.0
2019-01-28,37.5,38.200001,37.0,38.0,38.0,7217,1.0
2019-01-29,37.799999,38.200001,37.799999,38.099998,38.099998,5313,1.0
2019-01-30,38.0,38.599998,38.0,38.299999,38.299999,3278,1.0
2019-01-31,38.299999,38.299999,37.599998,38.299999,38.299999,28501,1.0
2019-02-01,37.599998,39.200001,37.599998,38.400002,38.400002,11147,1.0
2019-02-04,38.299999,38.400002,37.700001,38.400002,38.400002,18041,1.0
2019-02-05,37.599998,38.299999,37.599998,38.200001,38.200001,14175,1.0
2019-02-06,37.599998,38.5,37.5,38.0,38.0,13364,1.0
2019-02-07,36.299999,38.900002,36.299999,38.900002,38.900002,49414,1.0
2019-02-08,39.200001,39.200001,38.0,38.099998,38.099998,2929,1.0
2019-02-11,38.0,39.400002,37.900002,39.400002,39.400002,16607,1.0
2019-02-12,39.299999,39.299999,38.200001,38.299999,38.299999,2633,1.0
2019-02-13,38.099998,38.400002,38.0,38.0,38.0,166521,1.0
2019-02-14,38.0,38.099998,37.099998,37.700001,37.700001,10292,1.0
2019-02-15,36.5,38.400002,36.5,38.299999,38.299999,20194,1.0
2019-02-18,38.299999,38.299999,37.799999,38.0,38.0,2396,1.0
2019-02-19,38.200001,38.400002,37.799999,38.0,38.0,5117,1.0
2019-02-20,37.200001,38.0,37.200001,38.0,38.0,12336,1.0
2019-02-21,38.0,38.799999,37.799999,38.099998,38.099998,9140,1.0
2019-02-22,37.799999,38.099998,37.0,38.099998,38.099998,23205,1.0
2019-02-25,37.0,38.299999,37.0,38.0,38.0,10762,1.0
2019-02-26,38.0,39.5,37.799999,39.5,39.5,58937,1.0
2019-02-27,39.400002,39.400002,38.200001,38.200001,38.200001,6865,1.0
2019-02-28,37.900002,39.200001,37.400002,39.200001,39.200001,28738,1.0
2019-03-01,38.200001,38.400002,38.200001,38.400002,38.400002,6262,1.0
2019-03-04,38.0,38.5,38.0,38.299999,38.299999,5106,1.0
2019-03-05,38.299999,38.400002,38.0,38.400002,38.400002,14742,1.0
2019-03-06,38.299999,38.299999,38.0,38.099998,38.099998,231307,1.0
2019-03-07,38.0,38.299999,37.5,38.299999,38.299999,14886,1.0
2019-03-08,38.0,38.200001,37.0,38.0,38.0,3034,1.0
2019-03-11,38.0,38.200001,37.0,38.200001,38.200001,1855,1.0
2019-03-12,38.0,38.200001,36.900002,38.0,38.0,12534,1.0
2019-03-13,38.0,38.200001,38.0,38.200001,38.200001,1411,1.0
2019-03-14,38.0,38.299999,36.799999,38.200001,38.200001,6830,1.0
2019-03-15,37.599998,37.599998,36.0,37.5,37.5,26450,1.0
2019-03-18,37.799999,37.900002,36.599998,36.799999,36.799999,21017,1.0
2019-03-19,36.799999,37.700001,36.599998,37.599998,37.599998,25231,1.0
2019-03-20,36.299999,37.299999,36.099998,37.299999,37.299999,9657,1.0
2019-03-21,36.099998,36.299999,36.0,36.299999,36.299999,9150,1.0
2019-03-22,36.200001,36.599998,36.200001,36.299999,36.299999,3490,1.0
2019-03-25,35.5,36.299999,35.5,35.900002,35.900002,8829,1.0
2019-03-26,35.799999,36.400002,35.799999,36.400002,36.400002,15930,1.0
2019-03-27,36.700001,36.700001,35.900002,36.099998,36.099998,12482,1.0
2019-03-28,36.0,36.200001,35.900002,36.200001,36.200001,6159,1.0
2019-03-29,36.400002,36.400002,35.799999,36.200001,36.200001,15422,1.0
2019-04-01,35.900002,36.5,35.799999,36.5,36.5,20028,1.0
2019-04-02,36.5,36.5,35.700001,35.700001,35.700001,1555,1.0
2019-04-03,35.599998,35.799999,35.599998,35.799999,35.799999,4456,1.0
2019-04-04,35.799999,36.0,35.200001,36.0,36.0,9423,1.0
2019-04-05,35.299999,35.5,35.299999,35.5,35.5,2670,1.0
2019-04-08,35.5,36.099998,35.5,35.700001,35.700001,1566,1.0
2019-04-09,35.5,35.900002,35.5,35.900002,35.900002,4301,1.0
2019-04-10,36.0,36.200001,35.599998,35.700001,35.700001,23595,1.0
2019-04-11,35.599998,36.200001,35.5,35.700001,35.700001,2239,1.0
2019-04-12,35.599998,35.799999,35.599998,35.599998,35.599998,2856,1.0
2019-04-15,35.599998,36.700001,35.5,36.700001,36.700001,10431,1.0
2019-04-16,35.799999,36.900002,35.799999,36.400002,36.400002,5425,1.0
2019-04-17,35.0,37.599998,35.0,37.599998,37.599998,4520,1.0
2019-04-18,37.599998,37.799999,35.5,37.5,37.5,2843,1.0
2019-04-23,38.0,38.0,35.700001,38.0,38.0,10232,1.0
2019-04-24,38.0,39.0,38.0,38.0,38.0,7853,1.0
2019-04-25,38.5,38.799999,38.0,38.299999,38.299999,5629,1.0
2019-04-26,38.5,38.5,37.900002,38.099998,38.099998,2628,1.0
2019-04-29,38.5,38.799999,38.0,38.200001,38.200001,11352,1.0
2019-04-30,36.200001,38.099998,36.200001,38.0,38.0,9099,1.0
2019-05-02,37.0,38.299999,36.299999,38.0,38.0,80455,1.0
2019-05-03,35.0,37.599998,35.0,37.5,37.5,15420,1.0
2019-05-06,37.5,38.400002,36.400002,37.700001,37.700001,8113,1.0
2019-05-07,37.900002,38.0,37.799999,38.0,38.0,1035,1.0
2019-05-08,37.900002,37.900002,37.5,37.5,37.5,2013,1.0
2019-05-09,37.599998,37.599998,36.5,36.599998,36.599998,9528,1.0
2019-05-10,37.599998,38.099998,37.599998,37.700001,37.700001,163131,1.0
2019-05-13,37.099998,38.299999,37.0,37.799999,37.799999,29457,1.0
2019-05-14,37.799999,38.0,37.5,38.0,38.0,9823,1.0
2019-05-15,38.0,41.0,37.5,40.200001,40.200001,83414,1.0
2019-05-16,40.200001,41.200001,40.200001,41.0,41.0,52593,1.0
2019-05-17,40.900002,41.0,40.200001,41.0,41.0,9461,1.0
2019-05-20,41.0,41.0,40.799999,41.0,41.0,5779,1.0
2019-05-21,41.0,41.400002,40.5,40.900002,40.900002,7912,1.0
2019-05-22,40.900002,42.0,40.900002,42.0,42.0,17313,1.0
2019-05-23,41.900002,42.400002,41.0,42.400002,42.400002,36402,1.0
2019-05-24,42.400002,44.799999,42.400002,44.0,44.0,41641,1.0
2019-05-27,44.799999,44.799999,43.400002,44.0,44.0,18564,1.0
2019-05-28,44.799999,44.799999,42.5,43.200001,43.200001,23524,1.0
2019-05-29,43.200001,43.200001,41.5,42.0,42.0,3492,1.0
2019-05-31,41.5,41.5,39.900002,39.900002,39.900002,56420,1.0
2019-06-03,39.799999,39.799999,38.0,38.0,38.0,24433,1.0
2019-06-04,38.200001,40.700001,38.200001,40.400002,40.400002,19029,1.0
2019-06-05,40.400002,41.200001,40.400002,41.200001,41.200001,5114,1.0
2019-06-07,41.200001,41.200001,40.0,40.700001,40.700001,9442,1.0
2019-06-11,43.799999,46.799999,43.799999,45.0,45.0,35723,1.0
2019-06-12,44.0,44.299999,42.700001,44.0,44.0,28109,1.0
2019-06-13,44.0,44.900002,43.599998,43.599998,43.599998,16119,1.0
2019-06-14,42.299999,43.200001,42.299999,42.400002,42.400002,7392,1.0
2019-06-18,41.900002,44.400002,41.599998,43.400002,43.400002,15059,1.0
2019-06-19,42.400002,45.5,42.400002,44.900002,44.900002,15417,1.0
2019-06-20,44.900002,45.200001,43.900002,44.099998,44.099998,15116,1.0
2019-06-24,45.0,45.200001,43.799999,44.900002,44.900002,9256,1.0
2019-06-25,44.0,44.599998,43.400002,44.299999,44.299999,19453,1.0
2019-06-26,44.299999,45.0,43.700001,45.0,45.0,12458,1.0
2019-06-27,46.0,46.0,45.299999,45.5,45.5,57786,1.0
2019-06-28,45.5,45.700001,44.099998,45.599998,45.599998,16346,1.0
2019-07-01,46.799999,46.799999,45.0,45.400002,45.400002,9222,1.0
2019-07-02,45.5,45.5,44.5,44.5,44.5,8025,1.0
2019-07-03,44.900002,45.0,44.400002,45.0,45.0,12078,1.0
2019-07-04,45.0,45.0,44.0,44.299999,44.299999,15178,1.0
2019-07-05,45.5,45.5,44.0,44.5,44.5,13470,1.0
2019-07-08,44.099998,44.900002,44.0,44.0,44.0,4507,1.0
2019-07-09,43.900002,43.900002,43.5,43.5,43.5,778,1.0
2019-07-10,43.400002,44.0,43.200001,43.700001,43.700001,10294,1.0
2019-07-11,43.200001,44.400002,43.200001,44.400002,44.400002,8314,1.0
2019-07-12,44.900002,45.0,44.400002,45.0,45.0,9382,1.0
2019-07-15,45.0,45.0,44.0,44.299999,44.299999,2346,1.0
2019-07-16,43.099998,45.0,43.099998,44.900002,44.900002,3584,1.0
2019-07-17,43.900002,44.900002,43.900002,44.900002,44.900002,39,1.0
2019-07-18,44.5,44.5,43.5,44.5,44.5,1104,1.0
2019-07-19,44.099998,44.5,44.0,44.5,44.5,2070,1.0
2019-07-22,42.0,44.099998,42.0,44.0,44.0,1069,1.0
2019-07-23,44.0,44.0,43.599998,43.799999,43.799999,4378,1.0
2019-07-24,44.400002,44.5,42.599998,44.5,44.5,7861,1.0
2019-07-25,42.599998,45.0,42.599998,44.599998,44.599998,1532,1.0
2019-07-26,44.900002,45.599998,43.5,43.799999,43.799999,3046,1.0
2019-07-29,44.0,44.900002,43.799999,43.799999,43.799999,1605,1.0
2019-07-30,43.599998,47.0,43.599998,45.900002,45.900002,11608,1.0
2019-07-31,45.799999,46.900002,44.599998,45.5,45.5,2655,1.0
2019-08-01,45.5,46.0,44.599998,45.900002,45.900002,8653,1.0
2019-08-02,45.900002,45.900002,44.299999,45.799999,45.799999,1842,1.0
2019-08-06,44.700001,45.900002,44.599998,44.799999,44.799999,7082,1.0
2019-08-07,45.900002,46.0,45.0,45.099998,45.099998,2344,1.0
2019-08-08,44.200001,44.200001,38.5,42.599998,42.599998,76192,1.0
2019-08-09,42.599998,42.599998,39.799999,39.799999,39.799999,12006,1.0
2019-08-12,39.799999,41.200001,38.0,38.200001,38.200001,8583,1.0
2019-08-13,38.0,38.299999,37.5,37.5,37.5,14527,1.0
2019-08-14,39.0,39.900002,37.799999,37.799999,37.799999,5294,1.0
2019-08-15,37.799999,37.799999,36.5,36.5,36.5,9463,1.0
2019-08-16,36.5,40.0,36.5,39.5,39.5,26736,1.0
2019-08-19,39.900002,40.799999,36.0,39.900002,39.900002,8336,1.0
2019-08-20,40.0,41.0,39.900002,39.900002,39.900002,2248,1.0
2019-08-21,39.900002,40.200001,39.799999,40.200001,40.200001,58443,1.0
2019-08-22,41.0,41.0,39.900002,40.099998,40.099998,4560,1.0
2019-08-23,40.0,42.0,39.900002,42.0,42.0,68956,1.0
2019-08-26,42.0,42.0,40.599998,40.599998,40.599998,105,1.0
2019-08-27,40.599998,43.900002,40.599998,43.099998,43.099998,7580,1.0
2019-08-28,43.0,43.0,40.0,41.700001,41.700001,3763,1.0
2019-08-29,41.700001,41.700001,38.0,40.0,40.0,43084,1.0
2019-08-30,41.0,41.900002,39.900002,41.900002,41.900002,2700,1.0
2019-09-02,41.900002,42.400002,40.400002,41.900002,41.900002,16045,1.0
2019-09-03,41.200001,41.200001,39.799999,40.799999,40.799999,1910,1.0
2019-09-04,39.700001,40.799999,39.700001,40.799999,40.799999,1422,1.0
2019-09-05,39.799999,40.0,39.700001,40.0,40.0,8266,1.0
2019-09-06,40.0,41.599998,40.0,41.099998,41.099998,634,1.0
2019-09-09,41.599998,41.799999,39.799999,40.200001,40.200001,14771,1.0
2019-09-10,40.900002,40.900002,39.099998,39.599998,39.599998,9443,1.0
2019-09-11,40.400002,40.400002,39.400002,39.799999,39.799999,366,1.0
2019-09-12,40.400002,40.400002,39.299999,39.299999,39.299999,4397,1.0
2019-09-13,39.5,39.700001,38.799999,39.5,39.5,5176,1.0
2019-09-16,39.0,39.700001,39.0,39.200001,39.200001,2605,1.0
2019-09-17,39.5,39.5,38.900002,39.200001,39.200001,5888,1.0
2019-09-18,38.5,39.400002,38.400002,39.400002,39.400002,3162,1.0
2019-09-19,39.700001,41.700001,39.700001,41.5,41.5,37307,1.0
2019-09-20,41.5,42.0,40.099998,40.099998,40.099998,2162,1.0
2019-09-23,40.5,40.599998,40.099998,40.099998,40.099998,5062,1.0
2019-09-24,40.200001,40.200001,39.700001,39.700001,39.700001,850,1.0
2019-09-25,40.0,41.700001,39.799999,40.0,40.0,3473,1.0
2019-09-26,41.0,41.0,40.400002,40.400002,40.400002,5070,1.0
2019-09-27,42.0,52.0,42.0,50.0,50.0,192002,1.0
2019-09-30,50.0,54.599998,49.0,51.0,51.0,167968,1.0
2019-10-01,51.0,51.599998,49.599998,51.200001,51.200001,15763,1.0
2019-10-02,51.799999,54.400002,51.799999,53.799999,53.799999,51259,1.0
2019-10-03,53.599998,53.599998,52.599998,53.0,53.0,39569,1.0
2019-10-04,53.0,53.799999,52.799999,53.799999,53.799999,11088,1.0
2019-10-07,53.200001,55.0,53.200001,55.0,55.0,14715,1.0
2019-10-08,55.0,55.0,53.599998,55.0,55.0,17093,1.0
2019-10-09,55.0,56.200001,53.599998,56.0,56.0,31141,1.0
2019-10-10,55.799999,55.799999,54.599998,55.0,55.0,6262,1.0
2019-10-11,53.599998,54.799999,53.599998,54.799999,54.799999,4702,1.0
2019-10-14,54.200001,55.400002,54.200001,55.0,55.0,36772,1.0
