Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,57.0,61.0,57.0,59.060001,59.060001,773,1.0
2019-01-03,59.060001,61.990002000000004,59.060001,60.0,60.0,28528,1.0
2019-01-04,62.5,65.989998,60.990002000000004,60.990002000000004,60.990002000000004,295,1.0
2019-01-07,60.0,61.950001,59.060001,59.080002,59.080002,132,1.0
2019-01-08,58.0,60.93,58.0,59.5,59.5,4660,1.0
2019-01-09,63.98,63.98,60.049999,63.889998999999996,63.889998999999996,40115,1.0
2019-01-10,63.849998,70.5,63.509997999999996,67.050003,67.050003,54794,1.0
2019-01-11,69.849998,69.849998,64.5,64.5,64.5,9135,1.0
2019-01-14,67.0,67.0,64.5,64.5,64.5,13116,1.0
2019-01-15,66.099998,66.099998,64.510002,64.559998,64.559998,52,1.0
2019-01-16,65.989998,65.989998,64.010002,64.010002,64.010002,25552,1.0
2019-01-17,64.0,65.889999,62.009997999999996,62.23,62.23,1228,1.0
2019-01-18,66.0,66.0,59.119999,63.0,63.0,11982,1.0
2019-01-21,63.009997999999996,63.02,63.009997999999996,63.02,63.02,135,1.0
2019-01-22,63.0,63.049999,59.5,61.400002,61.400002,59294,1.0
2019-01-23,62.0,64.989998,62.0,62.060001,62.060001,7220,1.0
2019-01-24,62.060001,62.060001,62.060001,62.060001,62.060001,301,1.0
2019-01-25,62.060001,62.060001,60.029999,60.049999,60.049999,14662,1.0
2019-01-28,60.049999,61.0,60.049999,60.599998,60.599998,614,1.0
2019-01-29,60.599998,63.990002000000004,59.5,59.580002,59.580002,2837,1.0
2019-01-30,60.009997999999996,60.02,60.009997999999996,60.02,60.02,3,1.0
2019-01-31,60.02,61.5,60.02,61.5,61.5,730,1.0
2019-02-01,61.5,61.599998,59.529999,60.91,60.91,2803,1.0
2019-02-04,63.279999,63.439999,63.279999,63.43,63.43,426,1.0
2019-02-05,63.43,63.439999,60.0,63.400002,63.400002,128,1.0
2019-02-06,63.400002,63.5,63.400002,63.400002,63.400002,1524,1.0
2019-02-07,62.099998,64.0,62.0,64.0,64.0,7045,1.0
2019-02-08,64.0,66.010002,64.0,66.010002,66.010002,1911,1.0
2019-02-11,66.0,69.989998,66.0,67.0,67.0,12938,1.0
2019-02-12,67.0,67.900002,66.400002,67.5,67.5,11773,1.0
2019-02-13,68.989998,68.989998,64.050003,68.0,68.0,7260,1.0
2019-02-14,66.010002,69.059998,66.010002,69.0,69.0,1788,1.0
2019-02-15,69.989998,69.989998,67.050003,68.0,68.0,4957,1.0
2019-02-18,66.199997,67.940002,66.0,66.0,66.0,4870,1.0
2019-02-19,66.0,66.0,62.0,65.0,65.0,237493,1.0
