Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,20.6,20.6,20.25,20.299999,20.299999,3991,1.0
2019-01-03,20.25,20.25,19.959999,20.0,20.0,37414,1.0
2019-01-04,20.0,20.0,19.52,19.940001000000002,19.940001000000002,12014,1.0
2019-01-07,19.940001000000002,20.200001,19.940001000000002,20.0,20.0,89865,1.0
2019-01-08,20.1,20.6,19.92,20.25,20.25,74278,1.0
2019-01-09,20.0,20.200001,19.959999,20.0,20.0,41743,1.0
2019-01-10,20.0,20.15,19.940001000000002,20.1,20.1,161365,1.0
2019-01-11,20.1,20.25,19.719998999999998,20.200001,20.200001,177182,1.0
2019-01-14,20.15,20.200001,19.9,20.200001,20.200001,67771,1.0
2019-01-15,20.1,20.15,20.0,20.0,20.0,32443,1.0
2019-01-16,20.0,20.200001,19.9,20.0,20.0,40125,1.0
2019-01-17,20.0,20.1,19.92,20.049999,20.049999,9773,1.0
2019-01-18,19.92,20.5,19.92,20.299999,20.299999,152017,1.0
2019-01-21,20.15,20.200001,19.84,20.049999,20.049999,47869,1.0
2019-01-22,19.940001000000002,20.1,19.9,20.0,20.0,158789,1.0
2019-01-23,20.0,20.0,18.0,19.6,19.6,113652,1.0
2019-01-24,18.52,20.0,18.52,19.799999,19.799999,135384,1.0
2019-01-25,18.82,19.799999,18.82,19.299999,19.299999,97368,1.0
2019-01-28,19.0,19.66,19.0,19.4,19.4,50333,1.0
2019-01-29,19.02,19.98,19.02,19.4,19.4,48740,1.0
2019-01-30,20.0,20.0,19.040001,19.08,19.08,60212,1.0
2019-01-31,19.48,20.0,19.08,19.219998999999998,19.219998999999998,55781,1.0
2019-02-01,19.16,19.780001000000002,19.059998999999998,19.059998999999998,19.059998999999998,43804,1.0
2019-02-04,19.120001000000002,19.799999,19.120001000000002,19.5,19.5,9381,1.0
2019-02-05,19.02,19.559998999999998,19.02,19.559998999999998,19.559998999999998,13279,1.0
2019-02-06,19.540001,19.719998999999998,19.540001,19.719998999999998,19.719998999999998,2185,1.0
2019-02-07,19.799999,19.98,19.799999,19.9,19.9,8463,1.0
2019-02-08,20.1,20.35,19.32,19.32,19.32,16542,1.0
2019-02-11,19.5,20.200001,19.5,19.879998999999998,19.879998999999998,13143,1.0
2019-02-12,20.049999,20.6,20.049999,20.4,20.4,4063,1.0
2019-02-13,20.549999,20.549999,19.940001000000002,19.98,19.98,3301,1.0
2019-02-14,19.98,20.35,19.84,19.84,19.84,2909,1.0
2019-02-15,19.82,20.0,19.799999,20.0,20.0,7803,1.0
2019-02-18,20.200001,20.4,20.1,20.1,20.1,1143,1.0
2019-02-19,20.0,20.0,19.6,20.0,20.0,11111,1.0
2019-02-20,20.200001,20.450001,20.200001,20.299999,20.299999,3249,1.0
2019-02-21,20.450001,20.5,20.15,20.5,20.5,12125,1.0
2019-02-22,20.450001,20.450001,20.0,20.4,20.4,16412,1.0
2019-02-25,20.450001,20.5,20.0,20.4,20.4,34071,1.0
2019-02-26,20.450001,20.9,20.4,20.9,20.9,22544,1.0
2019-02-27,20.049999,20.299999,19.76,20.15,20.15,435561,1.0
2019-02-28,20.200001,20.5,19.52,20.5,20.5,31241,1.0
2019-03-01,20.5,20.85,20.0,20.85,20.85,30926,1.0
2019-03-04,20.799999,20.85,19.74,19.74,19.74,196915,1.0
2019-03-05,20.35,20.450001,19.799999,20.1,20.1,260708,1.0
2019-03-06,20.450001,20.450001,20.1,20.200001,20.200001,15579,1.0
2019-03-07,20.200001,22.0,20.0,20.950001,20.950001,82816,1.0
2019-03-08,21.1,21.950001,20.85,21.450001,21.450001,13199,1.0
2019-03-11,21.5,22.799999,20.700001,21.5,21.5,28673,1.0
2019-03-12,21.75,21.75,20.799999,20.9,20.9,2294,1.0
2019-03-13,21.0,21.450001,20.799999,21.0,21.0,14191,1.0
2019-03-14,21.0,21.0,20.6,20.950001,20.950001,17497,1.0
2019-03-15,20.950001,21.6,20.700001,21.35,21.35,16201,1.0
2019-03-18,21.35,21.549999,20.700001,21.25,21.25,14674,1.0
2019-03-19,21.25,21.5,21.0,21.299999,21.299999,2504,1.0
2019-03-20,21.450001,21.450001,20.700001,21.049999,21.049999,3700,1.0
2019-03-21,20.700001,20.9,19.799999,19.92,19.92,37228,1.0
2019-03-22,20.299999,20.5,20.0,20.4,20.4,9239,1.0
2019-03-25,20.4,20.65,19.9,20.4,20.4,3954,1.0
2019-03-26,19.98,20.450001,19.98,20.200001,20.200001,8063,1.0
2019-03-27,20.0,20.4,19.98,20.4,20.4,10302,1.0
2019-03-28,20.65,20.65,20.0,20.450001,20.450001,4485,1.0
2019-03-29,20.5,21.15,20.1,21.1,21.1,3352,1.0
2019-04-01,21.1,21.1,20.0,20.5,20.5,19606,1.0
2019-04-02,20.9,20.9,20.1,20.200001,20.200001,4895,1.0
2019-04-03,20.200001,21.1,20.0,20.5,20.5,13141,1.0
2019-04-04,19.549999,20.5,19.549999,20.299999,20.299999,3347,1.0
2019-04-05,19.549999,20.4,19.549999,20.299999,20.299999,11843,1.0
2019-04-08,20.1,20.200001,19.5,20.200001,20.200001,24114,1.0
2019-04-09,19.85,20.1,19.75,19.950001,19.950001,5714,1.0
2019-04-10,19.85,20.9,19.5,20.799999,20.799999,21404,1.0
2019-04-11,20.799999,20.9,20.299999,20.5,20.5,1519,1.0
2019-04-12,20.5,21.1,20.299999,20.700001,20.700001,5333,1.0
2019-04-15,20.700001,20.700001,20.200001,20.5,20.5,1323,1.0
2019-04-16,20.299999,20.5,20.200001,20.5,20.5,89380,1.0
2019-04-17,20.5,22.9,20.5,22.299999,22.299999,27127,1.0
2019-04-18,22.299999,22.299999,21.200001,22.200001,22.200001,11917,1.0
2019-04-23,22.200001,22.6,22.0,22.1,22.1,15818,1.0
2019-04-24,22.0,22.1,21.6,21.9,21.9,4060,1.0
2019-04-25,21.9,22.9,21.799999,22.200001,22.200001,99266,1.0
2019-04-26,22.6,22.799999,21.9,22.799999,22.799999,28944,1.0
2019-04-29,22.799999,23.5,22.1,23.5,23.5,16689,1.0
2019-04-30,23.4,23.5,23.0,23.5,23.5,14738,1.0
2019-05-02,23.0,25.4,22.6,25.200001,25.200001,109277,1.0
2019-05-03,25.0,25.0,24.1,24.4,24.4,37605,1.0
2019-05-06,24.4,27.0,23.0,27.0,27.0,127064,1.0
2019-05-07,27.0,27.0,24.5,25.200001,25.200001,31175,1.0
2019-05-08,25.299999,26.299999,25.0,25.200001,25.200001,20467,1.0
2019-05-09,26.200001,26.200001,25.0,25.5,25.5,21912,1.0
2019-05-10,25.5,25.5,24.6,24.6,24.6,18442,1.0
2019-05-13,25.9,25.9,24.0,24.9,24.9,8975,1.0
2019-05-14,24.9,25.4,23.799999,25.0,25.0,43302,1.0
2019-05-15,24.5,25.799999,23.6,24.299999,24.299999,20213,1.0
2019-05-16,24.5,25.0,24.5,24.799999,24.799999,2774,1.0
2019-05-17,24.799999,25.1,24.5,24.5,24.5,5249,1.0
2019-05-20,24.5,25.799999,24.5,24.5,24.5,20427,1.0
2019-05-21,25.0,25.6,24.299999,24.299999,24.299999,3402,1.0
2019-05-22,24.4,25.9,24.1,24.9,24.9,36298,1.0
2019-05-23,24.9,26.0,24.9,25.0,25.0,31574,1.0
2019-05-24,25.799999,26.0,25.200001,25.700001,25.700001,17060,1.0
2019-05-27,25.9,26.0,25.0,25.700001,25.700001,31527,1.0
2019-05-28,26.200001,29.9,26.200001,26.5,26.5,48265,1.0
