Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,0.938,0.96,0.936,0.96,0.96,32463,1.0
2019-01-03,0.96,0.994,0.936,0.948,0.948,33336,1.0
2019-01-04,0.932,0.948,0.916,0.93,0.93,53474,1.0
2019-01-07,0.94,0.94,0.902,0.926,0.926,69098,1.0
2019-01-08,0.9,0.944,0.88,0.944,0.944,49784,1.0
2019-01-09,0.966,0.97,0.944,0.954,0.954,7200,1.0
2019-01-10,0.954,1.2,0.95,1.025,1.025,130692,1.0
2019-01-11,1.025,1.025,0.98,1.0,1.0,25927,1.0
2019-01-14,1.0,1.025,1.0,1.015,1.015,5066,1.0
2019-01-15,1.015,1.015,0.96,0.998,0.998,9081,1.0
2019-01-16,0.956,1.0,0.956,1.0,1.0,13507,1.0
2019-01-17,1.0,1.0,0.97,0.998,0.998,25613,1.0
2019-01-18,1.0,1.01,1.0,1.01,1.01,71305,1.0
2019-01-21,0.972,1.0,0.972,1.0,1.0,2773,1.0
2019-01-22,0.996,0.998,0.972,0.994,0.994,35679,1.0
2019-01-23,0.994,0.994,0.93,0.97,0.97,115211,1.0
2019-01-24,0.97,0.97,0.954,0.954,0.954,1603,1.0
2019-01-25,0.95,0.982,0.93,0.982,0.982,29564,1.0
2019-01-28,0.982,0.982,0.976,0.976,0.976,2919,1.0
2019-01-29,0.95,0.966,0.95,0.964,0.964,25174,1.0
2019-01-30,0.95,0.96,0.944,0.946,0.946,3476,1.0
2019-01-31,1.0,1.0,0.956,0.99,0.99,31323,1.0
2019-02-01,0.994,1.0,0.96,0.98,0.98,42181,1.0
2019-02-04,0.98,1.0,0.962,1.0,1.0,35230,1.0
2019-02-05,1.0,1.01,0.98,0.982,0.982,53517,1.0
2019-02-06,0.982,0.99,0.972,0.99,0.99,12626,1.0
2019-02-07,0.99,0.99,0.96,0.982,0.982,41099,1.0
2019-02-08,0.954,0.972,0.93,0.968,0.968,220292,1.0
2019-02-11,0.974,0.976,0.902,0.95,0.95,25867,1.0
2019-02-12,0.964,0.974,0.934,0.96,0.96,59087,1.0
2019-02-13,0.95,0.98,0.94,0.98,0.98,84459,1.0
2019-02-14,0.982,0.986,0.898,0.9,0.9,573324,1.0
2019-02-15,0.9,0.944,0.88,0.92,0.92,436429,1.0
2019-02-18,0.934,0.934,0.88,0.894,0.894,184126,1.0
2019-02-19,0.896,0.92,0.874,0.9,0.9,301197,1.0
2019-02-20,0.9,0.92,0.9,0.9,0.9,24733,1.0
2019-02-21,0.926,0.926,0.898,0.916,0.916,350177,1.0
2019-02-22,0.916,0.918,0.898,0.898,0.898,101955,1.0
2019-02-25,0.92,0.922,0.874,0.92,0.92,85450,1.0
2019-02-26,0.922,0.922,0.896,0.92,0.92,15113,1.0
2019-02-27,0.92,0.92,0.87,0.87,0.87,51849,1.0
2019-02-28,0.87,0.9,0.87,0.87,0.87,102340,1.0
2019-03-01,0.862,0.898,0.862,0.87,0.87,52453,1.0
2019-03-04,0.898,0.898,0.878,0.89,0.89,65465,1.0
2019-03-05,0.88,0.89,0.852,0.89,0.89,137406,1.0
2019-03-06,0.89,0.9,0.87,0.87,0.87,28891,1.0
2019-03-07,0.88,0.92,0.85,0.86,0.86,72766,1.0
2019-03-08,0.88,0.89,0.86,0.86,0.86,27481,1.0
2019-03-11,0.86,0.9,0.84,0.87,0.87,202441,1.0
2019-03-12,0.84,0.866,0.83,0.866,0.866,261327,1.0
2019-03-13,0.83,0.866,0.83,0.84,0.84,98917,1.0
2019-03-14,0.844,0.86,0.802,0.852,0.852,78001,1.0
2019-03-15,0.85,0.85,0.816,0.848,0.848,122898,1.0
2019-03-18,0.818,0.848,0.818,0.848,0.848,137870,1.0
2019-03-19,0.848,0.848,0.822,0.84,0.84,36230,1.0
2019-03-20,0.82,0.83,0.786,0.794,0.794,630781,1.0
2019-03-21,0.794,0.814,0.79,0.798,0.798,159740,1.0
2019-03-22,0.8,0.8,0.78,0.798,0.798,30290,1.0
2019-03-25,0.798,0.798,0.722,0.798,0.798,38024,1.0
2019-03-26,0.79,0.81,0.732,0.81,0.81,128935,1.0
2019-03-27,0.812,0.812,0.728,0.808,0.808,3923,1.0
2019-03-28,0.808,0.808,0.71,0.8,0.8,83733,1.0
2019-03-29,0.79,0.86,0.77,0.802,0.802,134890,1.0
2019-04-01,0.78,0.8,0.75,0.75,0.75,98251,1.0
2019-04-02,0.776,0.9,0.72,0.77,0.77,357974,1.0
2019-04-03,0.78,0.82,0.78,0.82,0.82,19325,1.0
2019-04-04,0.81,0.81,0.782,0.804,0.804,3899,1.0
2019-04-05,0.804,0.83,0.792,0.83,0.83,17155,1.0
2019-04-08,0.802,0.822,0.8,0.8,0.8,23570,1.0
2019-04-09,0.8,0.822,0.782,0.82,0.82,7339,1.0
2019-04-10,0.82,0.826,0.8,0.8,0.8,18279,1.0
2019-04-11,0.8,0.828,0.8,0.802,0.802,19507,1.0
2019-04-12,0.804,0.82,0.804,0.804,0.804,35154,1.0
2019-04-15,0.804,0.804,0.78,0.8,0.8,11215,1.0
2019-04-16,0.8,0.8,0.78,0.798,0.798,83320,1.0
2019-04-17,0.79,0.8,0.784,0.79,0.79,5049,1.0
2019-04-18,0.79,0.81,0.79,0.81,0.81,483,1.0
2019-04-23,0.798,0.798,0.762,0.772,0.772,77265,1.0
2019-04-24,0.772,0.81,0.768,0.8,0.8,152707,1.0
2019-04-25,0.8,0.81,0.792,0.81,0.81,19767,1.0
2019-04-26,0.798,0.8,0.77,0.78,0.78,85706,1.0
2019-04-29,0.782,0.794,0.78,0.794,0.794,11297,1.0
2019-04-30,0.794,0.796,0.794,0.796,0.796,6800,1.0
2019-05-02,0.794,0.798,0.782,0.782,0.782,16952,1.0
2019-05-03,0.782,0.798,0.782,0.786,0.786,30413,1.0
2019-05-06,0.792,0.798,0.79,0.798,0.798,131086,1.0
2019-05-07,0.8,0.8,0.78,0.79,0.79,22111,1.0
2019-05-08,0.79,0.79,0.736,0.78,0.78,111356,1.0
2019-05-09,0.78,0.8,0.778,0.796,0.796,63280,1.0
2019-05-10,0.808,0.808,0.782,0.8,0.8,13669,1.0
2019-05-13,0.81,0.81,0.742,0.79,0.79,9938,1.0
2019-05-14,0.762,0.794,0.762,0.766,0.766,28494,1.0
2019-05-15,0.792,0.82,0.76,0.8,0.8,137420,1.0
2019-05-16,0.812,0.89,0.812,0.88,0.88,294190,1.0
2019-05-17,0.88,0.88,0.786,0.87,0.87,83571,1.0
2019-05-20,0.87,0.87,0.81,0.85,0.85,59465,1.0
2019-05-21,0.85,0.85,0.832,0.84,0.84,44138,1.0
2019-05-22,0.84,0.84,0.806,0.84,0.84,1495,1.0
2019-05-23,0.8,0.838,0.762,0.83,0.83,43373,1.0
2019-05-24,0.802,0.84,0.802,0.83,0.83,30350,1.0
2019-05-27,0.87,0.87,0.84,0.848,0.848,13375,1.0
2019-05-28,0.848,0.848,0.81,0.814,0.814,33874,1.0
2019-05-29,0.814,0.82,0.814,0.82,0.82,3542,1.0
2019-05-31,0.83,0.83,0.794,0.83,0.83,20822,1.0
