Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,45.25,47.049999,44.950001,45.5,45.5,70784,1.0
2019-01-03,46.150002,47.150002,44.450001,44.75,44.75,303156,1.0
2019-01-04,44.5,46.75,44.5,45.400002,45.400002,42731,1.0
2019-01-07,45.450001,47.950001,44.0,47.0,47.0,99525,1.0
2019-01-08,47.150002,48.0,46.599998,46.75,46.75,44127,1.0
2019-01-09,46.799999,47.900002,46.5,47.0,47.0,52861,1.0
2019-01-10,47.049999,47.75,44.650002,45.650002,45.650002,47580,1.0
2019-01-11,45.650002,47.799999,44.900002,47.549999,47.549999,124797,1.0
2019-01-14,47.599998,47.599998,45.650002,45.75,45.75,44315,1.0
2019-01-15,45.799999,46.5,45.5,45.900002,45.900002,39785,1.0
2019-01-16,45.900002,46.25,44.5,45.25,45.25,359507,1.0
2019-01-17,45.0,47.25,43.900002,46.599998,46.599998,295910,1.0
2019-01-18,46.549999,46.950001,45.950001,46.200001,46.200001,25404,1.0
2019-01-21,46.75,49.0,46.25,48.599998,48.599998,295324,1.0
2019-01-22,48.599998,48.849998,47.0,48.299999,48.299999,58589,1.0
2019-01-23,49.0,49.099998,48.099998,48.25,48.25,63514,1.0
2019-01-24,48.25,49.0,47.150002,47.349998,47.349998,20357,1.0
2019-01-25,56.0,60.799999,53.700001,55.0,55.0,374608,1.0
2019-01-28,55.0,56.700001,53.599998,54.200001,54.200001,72278,1.0
2019-01-29,56.400002,56.400002,53.799999,55.299999,55.299999,63302,1.0
2019-01-30,56.900002,56.900002,54.200001,54.5,54.5,28757,1.0
2019-01-31,54.5,54.700001,52.700001,54.299999,54.299999,41129,1.0
2019-02-01,53.400002,53.900002,51.099998,53.200001,53.200001,12324,1.0
2019-02-04,53.0,53.799999,52.5,53.099998,53.099998,30541,1.0
2019-02-05,53.0,53.599998,51.799999,51.799999,51.799999,59583,1.0
2019-02-06,51.900002,53.0,51.900002,52.599998,52.599998,71883,1.0
2019-02-07,53.0,53.599998,52.700001,52.900002,52.900002,35395,1.0
2019-02-08,52.900002,53.700001,52.5,53.200001,53.200001,16398,1.0
2019-02-11,53.599998,55.599998,53.599998,54.5,54.5,105021,1.0
2019-02-12,53.900002,54.5,52.5,54.200001,54.200001,376660,1.0
2019-02-13,54.0,55.400002,51.700001,52.700001,52.700001,89928,1.0
2019-02-14,54.5,54.5,52.099998,53.599998,53.599998,81578,1.0
2019-02-15,54.099998,54.099998,52.0,52.900002,52.900002,27003,1.0
2019-02-18,53.5,53.5,52.099998,52.299999,52.299999,13312,1.0
2019-02-19,52.299999,53.700001,51.400002,53.299999,53.299999,131335,1.0
2019-02-20,53.799999,54.5,53.299999,54.0,54.0,61542,1.0
2019-02-21,55.799999,58.099998,54.799999,57.200001,57.200001,280272,1.0
2019-02-22,58.200001,63.700001,58.200001,61.900002,61.900002,220059,1.0
2019-02-25,62.0,64.5,61.200001,64.5,64.5,111807,1.0
2019-02-26,64.5,64.5,61.5,62.299999,62.299999,107947,1.0
2019-02-27,63.099998,63.099998,61.0,61.099998,61.099998,36632,1.0
2019-02-28,61.099998,62.900002,61.0,62.099998,62.099998,55473,1.0
2019-03-01,62.099998,62.200001,60.400002,61.200001,61.200001,44258,1.0
2019-03-04,61.200001,62.200001,61.099998,61.900002,61.900002,16007,1.0
2019-03-05,61.299999,62.200001,60.599998,61.900002,61.900002,30456,1.0
2019-03-06,60.799999,62.200001,60.700001,62.200001,62.200001,12839,1.0
2019-03-07,62.200001,62.200001,59.400002,60.200001,60.200001,30126,1.0
