Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,14.2,14.75,13.6,14.3,14.3,87265,1.0
2019-01-03,14.2,15.8,14.2,15.0,15.0,349165,1.0
2019-01-04,15.1,15.7,15.0,15.3,15.3,107116,1.0
2019-01-07,15.4,15.6,14.75,15.3,15.3,75629,1.0
2019-01-08,15.4,15.4,15.05,15.05,15.05,52986,1.0
2019-01-09,15.1,15.25,15.0,15.15,15.15,42496,1.0
2019-01-10,15.1,15.2,14.75,15.05,15.05,50355,1.0
2019-01-11,15.05,15.45,15.05,15.35,15.35,75499,1.0
2019-01-14,15.3,15.35,15.05,15.2,15.2,33188,1.0
2019-01-15,15.2,15.2,14.55,15.0,15.0,61670,1.0
2019-01-16,14.65,15.2,14.6,14.85,14.85,97169,1.0
2019-01-17,14.8,14.9,14.6,14.75,14.75,30463,1.0
2019-01-18,14.6,15.55,14.6,15.25,15.25,60285,1.0
2019-01-21,15.4,15.4,14.8,15.2,15.2,64755,1.0
2019-01-22,15.2,15.4,14.95,15.1,15.1,76369,1.0
2019-01-23,15.05,15.2,14.95,15.0,15.0,26914,1.0
2019-01-24,15.0,15.15,14.9,15.1,15.1,25087,1.0
2019-01-25,15.35,15.6,15.1,15.4,15.4,66447,1.0
2019-01-28,16.200001,16.200001,15.3,15.5,15.5,67263,1.0
2019-01-29,15.7,15.7,15.3,15.65,15.65,53022,1.0
2019-01-30,15.7,15.7,15.2,15.5,15.5,45352,1.0
2019-01-31,15.45,15.45,15.0,15.25,15.25,57406,1.0
2019-02-01,15.2,15.25,15.0,15.15,15.15,49230,1.0
2019-02-04,15.15,15.15,14.65,15.0,15.0,75285,1.0
2019-02-05,15.0,15.3,14.75,15.3,15.3,52784,1.0
2019-02-06,15.3,15.3,14.85,15.1,15.1,136169,1.0
2019-02-07,15.1,15.15,14.9,15.15,15.15,66433,1.0
2019-02-08,15.15,15.4,15.0,15.1,15.1,261977,1.0
2019-02-11,15.15,15.15,14.9,15.1,15.1,67519,1.0
2019-02-12,15.1,15.25,14.9,14.95,14.95,136383,1.0
2019-02-13,15.05,15.1,14.85,15.1,15.1,49214,1.0
2019-02-14,15.2,15.2,14.85,15.0,15.0,65515,1.0
2019-02-15,15.0,15.0,14.65,14.8,14.8,59735,1.0
2019-02-18,15.0,15.4,15.0,15.3,15.3,100699,1.0
2019-02-19,15.3,16.200001,15.3,15.7,15.7,110997,1.0
2019-02-20,16.15,16.15,15.55,15.75,15.75,61408,1.0
2019-02-21,15.7,16.5,15.3,16.25,16.25,294361,1.0
2019-02-22,16.299999,17.299999,16.25,16.950001,16.950001,164759,1.0
2019-02-25,17.200001,17.25,16.5,16.9,16.9,63306,1.0
2019-02-26,16.9,16.9,16.0,16.549999,16.549999,69648,1.0
2019-02-27,16.549999,16.950001,15.4,16.1,16.1,90843,1.0
2019-02-28,16.1,16.1,15.4,15.9,15.9,46329,1.0
2019-03-01,16.1,16.1,15.65,15.9,15.9,41747,1.0
2019-03-04,15.9,15.9,15.35,15.7,15.7,89539,1.0
2019-03-05,15.7,16.15,15.45,15.8,15.8,20189,1.0
2019-03-06,15.8,15.8,15.2,15.6,15.6,79982,1.0
2019-03-07,15.6,15.75,15.2,15.75,15.75,61730,1.0
2019-03-08,15.75,15.75,15.05,15.7,15.7,184517,1.0
2019-03-11,15.65,15.65,15.25,15.5,15.5,69631,1.0
2019-03-12,15.5,15.5,15.2,15.4,15.4,27487,1.0
2019-03-13,15.25,15.6,15.15,15.6,15.6,67101,1.0
2019-03-14,15.6,16.9,15.6,15.95,15.95,55541,1.0
2019-03-15,15.95,16.700001,15.7,16.4,16.4,55105,1.0
2019-03-18,16.4,16.85,16.1,16.4,16.4,152931,1.0
2019-03-19,16.4,16.450001,16.0,16.450001,16.450001,64040,1.0
2019-03-20,16.450001,16.5,16.15,16.4,16.4,69906,1.0
2019-03-21,16.4,16.5,16.0,16.299999,16.299999,96324,1.0
2019-03-22,17.0,18.200001,17.0,18.049999,18.049999,424554,1.0
2019-03-25,18.200001,19.450001,18.200001,19.200001,19.200001,287834,1.0
2019-03-26,19.200001,19.35,18.200001,18.549999,18.549999,110934,1.0
2019-03-27,18.4,18.4,17.5,17.85,17.85,135290,1.0
2019-03-28,17.700001,17.700001,16.799999,17.5,17.5,101705,1.0
2019-03-29,17.75,17.85,17.5,17.799999,17.799999,38723,1.0
2019-04-01,17.799999,18.440001000000002,17.719998999999998,18.440001000000002,18.440001000000002,70956,1.0
2019-04-02,18.4,18.799999,18.200001,18.5,18.5,86612,1.0
2019-04-03,18.700001,18.700001,18.0,18.4,18.4,89849,1.0
2019-04-04,18.879998999999998,18.879998999999998,18.18,18.200001,18.200001,60014,1.0
2019-04-05,18.18,18.200001,17.620001000000002,18.1,18.1,87057,1.0
2019-04-08,18.0,18.0,17.24,17.4,17.4,105907,1.0
2019-04-09,17.4,17.6,16.74,17.6,17.6,86912,1.0
2019-04-10,17.620001000000002,17.76,17.1,17.360001,17.360001,30466,1.0
2019-04-11,17.360001,17.459999,16.799999,16.98,16.98,58236,1.0
2019-04-12,16.98,17.34,16.74,17.200001,17.200001,84112,1.0
2019-04-15,17.24,17.34,16.9,17.059998999999998,17.059998999999998,58157,1.0
2019-04-16,17.18,17.18,16.700001,17.1,17.1,68603,1.0
2019-04-17,17.1,17.1,16.6,16.940001000000002,16.940001000000002,89038,1.0
2019-04-18,16.940001000000002,18.5,16.66,18.5,18.5,169099,1.0
2019-04-23,18.139999,18.139999,17.5,18.08,18.08,38245,1.0
2019-04-24,18.040001,18.08,17.559998999999998,17.76,17.76,67673,1.0
2019-04-25,17.280001000000002,17.74,17.200001,17.440001000000002,17.440001000000002,49083,1.0
2019-04-26,17.52,17.6,17.440001000000002,17.6,17.6,44287,1.0
2019-04-29,17.6,17.6,17.280001000000002,17.5,17.5,49588,1.0
2019-04-30,17.5,17.58,17.18,17.5,17.5,9032,1.0
2019-05-02,17.559998999999998,17.58,17.200001,17.34,17.34,83069,1.0
2019-05-03,17.34,17.42,17.139999,17.280001000000002,17.280001000000002,20972,1.0
2019-05-06,17.1,17.1,16.719998999999998,17.0,17.0,42574,1.0
2019-05-07,17.0,17.280001000000002,16.9,17.219998999999998,17.219998999999998,56827,1.0
2019-05-08,17.219998999999998,17.26,17.02,17.24,17.24,16711,1.0
2019-05-09,17.24,17.34,17.02,17.34,17.34,36011,1.0
2019-05-10,17.299999,18.08,17.120001000000002,18.0,18.0,144832,1.0
2019-05-13,18.299999,19.059998999999998,18.299999,18.74,18.74,196800,1.0
2019-05-14,19.200001,19.780001000000002,18.52,19.0,19.0,198836,1.0
2019-05-15,19.360001,19.360001,18.799999,19.1,19.1,119530,1.0
2019-05-16,19.1,19.139999,18.4,18.92,18.92,97163,1.0
2019-05-17,18.92,18.959999,18.5,18.66,18.66,74912,1.0
2019-05-20,18.52,18.879998999999998,18.18,18.379998999999998,18.379998999999998,39250,1.0
2019-05-21,18.16,18.360001,17.540001,17.9,17.9,133826,1.0
