Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,13.05,13.2,12.7,13.2,13.2,4741,1.0
2019-01-03,13.05,13.25,13.0,13.2,13.2,10083,1.0
2019-01-04,13.2,13.5,13.15,13.35,13.35,20476,1.0
2019-01-07,13.35,14.05,13.35,13.6,13.6,28705,1.0
2019-01-08,13.6,14.3,13.6,13.95,13.95,185594,1.0
2019-01-09,13.9,14.35,13.9,14.0,14.0,13051,1.0
2019-01-10,14.05,14.6,13.75,14.55,14.55,34632,1.0
2019-01-11,14.55,15.35,14.15,15.35,15.35,74647,1.0
2019-01-14,15.2,16.0,14.3,14.5,14.5,62845,1.0
2019-01-15,14.5,14.6,13.65,14.2,14.2,51479,1.0
2019-01-16,14.35,14.5,13.75,14.15,14.15,66693,1.0
2019-01-17,14.2,14.65,14.2,14.3,14.3,25223,1.0
2019-01-18,14.4,14.7,14.3,14.6,14.6,8526,1.0
2019-01-21,14.85,14.9,14.4,14.4,14.4,25197,1.0
2019-01-22,14.4,14.4,14.1,14.3,14.3,2057,1.0
2019-01-23,13.95,14.3,13.95,14.1,14.1,12955,1.0
2019-01-24,13.9,14.15,13.55,13.6,13.6,24230,1.0
2019-01-25,13.95,14.15,13.5,13.65,13.65,47462,1.0
2019-01-28,13.7,13.95,13.45,13.6,13.6,36374,1.0
2019-01-29,13.5,13.7,13.1,13.3,13.3,26716,1.0
2019-01-30,13.3,13.5,13.1,13.3,13.3,133730,1.0
2019-01-31,13.3,14.0,13.3,13.85,13.85,26078,1.0
2019-02-01,13.9,14.0,13.25,13.55,13.55,263321,1.0
2019-02-04,13.2,13.6,13.2,13.5,13.5,65556,1.0
2019-02-05,13.4,13.55,12.95,13.1,13.1,52989,1.0
2019-02-06,13.1,13.4,12.55,12.6,12.6,67469,1.0
2019-02-07,12.6,13.25,12.6,12.8,12.8,44312,1.0
2019-02-08,13.0,13.3,13.0,13.05,13.05,25973,1.0
2019-02-11,13.05,13.1,12.8,12.9,12.9,20114,1.0
2019-02-12,13.0,13.1,12.8,13.0,13.0,80516,1.0
2019-02-13,12.85,13.1,12.85,12.95,12.95,24573,1.0
2019-02-14,13.0,13.1,12.95,13.05,13.05,693616,1.0
2019-02-15,13.0,13.1,12.85,13.1,13.1,7420,1.0
2019-02-18,12.8,13.1,12.8,12.9,12.9,13619,1.0
2019-02-19,12.9,13.15,12.9,13.1,13.1,4190,1.0
2019-02-20,13.1,13.1,12.8,13.0,13.0,22468,1.0
2019-02-21,12.95,12.95,11.1,11.35,11.35,208490,1.0
2019-02-22,11.35,11.5,11.15,11.3,11.3,38640,1.0
2019-02-25,11.3,11.45,11.1,11.2,11.2,64948,1.0
2019-02-26,11.15,11.2,11.1,11.2,11.2,3359,1.0
2019-02-27,11.2,11.2,11.1,11.2,11.2,12992,1.0
2019-02-28,11.15,11.15,10.95,11.05,11.05,17657,1.0
2019-03-01,11.05,11.25,11.05,11.2,11.2,9376,1.0
2019-03-04,11.65,12.2,10.85,11.85,11.85,188679,1.0
2019-03-05,11.8,11.95,11.05,11.4,11.4,120650,1.0
2019-03-06,11.4,11.4,11.15,11.25,11.25,125224,1.0
2019-03-07,11.25,11.3,11.25,11.3,11.3,2249,1.0
2019-03-08,11.2,11.2,10.8,10.95,10.95,80174,1.0
2019-03-11,11.4,11.9,11.2,11.8,11.8,338249,1.0
2019-03-12,12.0,12.8,12.0,12.7,12.7,247198,1.0
2019-03-13,12.85,12.9,12.4,12.65,12.65,74395,1.0
2019-03-14,12.65,12.8,12.65,12.7,12.7,39736,1.0
2019-03-15,12.8,12.9,12.45,12.7,12.7,28114,1.0
2019-03-18,12.75,12.8,12.5,12.7,12.7,35619,1.0
2019-03-19,12.75,12.8,12.4,12.6,12.6,20216,1.0
2019-03-20,12.35,12.5,12.1,12.5,12.5,28430,1.0
2019-03-21,12.2,12.3,11.95,12.2,12.2,41750,1.0
2019-03-22,12.2,12.25,12.05,12.2,12.2,15908,1.0
2019-03-25,12.4,12.4,11.9,12.0,12.0,518130,1.0
2019-03-26,12.2,12.25,11.75,12.0,12.0,23875,1.0
2019-03-27,12.0,12.0,11.6,11.9,11.9,36277,1.0
2019-03-28,12.0,12.0,11.7,11.8,11.8,4735,1.0
2019-03-29,11.6,11.7,11.5,11.65,11.65,26808,1.0
2019-04-01,11.65,12.0,11.65,12.0,12.0,35405,1.0
2019-04-02,12.0,12.0,11.8,11.85,11.85,8608,1.0
2019-04-03,11.9,11.9,11.5,11.75,11.75,93217,1.0
2019-04-04,11.85,12.0,11.8,11.95,11.95,40000,1.0
2019-04-05,11.95,12.0,11.8,11.95,11.95,21315,1.0
2019-04-08,12.0,12.0,11.8,11.85,11.85,2748,1.0
2019-04-09,11.6,11.85,11.6,11.75,11.75,7310,1.0
2019-04-10,11.7,11.75,11.5,11.75,11.75,22081,1.0
2019-04-11,11.55,11.7,11.55,11.65,11.65,25864,1.0
2019-04-12,11.7,11.75,11.55,11.6,11.6,26686,1.0
2019-04-15,11.6,11.75,11.55,11.6,11.6,33622,1.0
2019-04-16,11.6,11.6,11.3,11.45,11.45,80138,1.0
2019-04-17,11.4,11.45,11.35,11.35,11.35,11943,1.0
2019-04-18,11.25,11.7,11.25,11.5,11.5,48058,1.0
2019-04-23,11.55,11.55,11.45,11.5,11.5,56957,1.0
2019-04-24,11.5,11.7,11.45,11.45,11.45,54493,1.0
2019-04-25,11.5,11.7,11.5,11.7,11.7,153667,1.0
2019-04-26,11.75,12.0,11.75,12.0,12.0,255172,1.0
2019-04-29,12.0,12.2,11.85,12.0,12.0,111066,1.0
2019-04-30,11.9,12.0,11.75,11.8,11.8,13694,1.0
2019-05-02,11.9,12.2,11.75,12.0,12.0,126268,1.0
2019-05-03,11.2,12.3,11.1,12.1,12.1,151351,1.0
2019-05-06,12.3,12.7,12.25,12.7,12.7,16792,1.0
2019-05-07,12.7,13.0,12.4,12.55,12.55,641946,1.0
2019-05-08,12.55,12.7,12.25,12.5,12.5,19896,1.0
2019-05-09,12.35,12.4,12.1,12.4,12.4,26576,1.0
2019-05-10,12.65,12.65,12.4,12.4,12.4,42360,1.0
2019-05-13,12.4,12.6,12.0,12.0,12.0,14382,1.0
2019-05-14,12.0,12.35,12.0,12.35,12.35,16254,1.0
2019-05-15,12.55,12.6,12.4,12.6,12.6,9956,1.0
2019-05-16,12.35,12.6,12.35,12.6,12.6,12149,1.0
2019-05-17,12.45,12.6,12.35,12.6,12.6,10780,1.0
2019-05-20,12.7,12.7,12.15,12.15,12.15,38137,1.0
2019-05-21,12.15,12.55,12.15,12.55,12.55,5621,1.0
2019-05-22,12.55,13.0,12.35,12.9,12.9,273690,1.0
2019-05-23,12.9,13.0,12.65,12.85,12.85,429956,1.0
2019-05-24,13.0,13.5,12.9,13.0,13.0,316220,1.0
2019-05-27,13.2,13.45,12.85,13.0,13.0,51390,1.0
2019-05-28,12.8,13.0,12.6,12.85,12.85,95049,1.0
2019-05-29,12.75,12.8,12.45,12.45,12.45,39413,1.0
2019-05-31,12.45,12.55,11.9,11.9,11.9,84648,1.0
2019-06-03,11.85,12.45,11.6,12.35,12.35,95547,1.0
2019-06-04,12.35,12.75,12.05,12.75,12.75,19838,1.0
2019-06-05,12.85,12.9,12.65,12.65,12.65,14911,1.0
2019-06-07,12.7,12.85,12.55,12.55,12.55,20854,1.0
2019-06-11,12.95,12.95,12.8,12.8,12.8,4945,1.0
2019-06-12,12.8,13.0,12.5,13.0,13.0,26130,1.0
2019-06-13,12.65,13.25,12.65,13.0,13.0,42904,1.0
2019-06-14,12.8,12.9,12.25,12.5,12.5,32864,1.0
2019-06-18,12.45,12.9,12.25,12.75,12.75,52377,1.0
2019-06-19,12.55,12.9,12.55,12.9,12.9,16528,1.0
2019-06-20,12.7,12.95,12.5,12.85,12.85,22301,1.0
2019-06-24,12.85,13.05,12.85,13.05,13.05,26489,1.0
2019-06-25,13.05,13.05,12.8,12.95,12.95,1811,1.0
2019-06-26,12.7,12.95,12.7,12.95,12.95,7953,1.0
2019-06-27,12.9,12.9,12.8,12.8,12.8,677,1.0
2019-06-28,12.8,12.8,12.6,12.75,12.75,3106,1.0
2019-07-01,12.7,12.7,12.4,12.7,12.7,20940,1.0
2019-07-02,12.7,12.7,12.3,12.7,12.7,1562,1.0
2019-07-03,12.7,12.7,12.5,12.65,12.65,19437,1.0
2019-07-04,12.7,12.7,12.45,12.65,12.65,20008,1.0
2019-07-05,12.65,12.65,12.55,12.65,12.65,10011,1.0
2019-07-08,12.7,13.0,12.7,12.75,12.75,21141,1.0
2019-07-09,12.75,12.8,12.55,12.8,12.8,31082,1.0
2019-07-10,12.75,13.05,12.55,13.05,13.05,7062,1.0
2019-07-11,13.05,13.05,12.75,13.05,13.05,6113,1.0
2019-07-12,12.75,13.7,12.75,13.55,13.55,56025,1.0
