Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,49.200001,50.400002,48.099998,49.849998,49.849998,49998,1.0
2019-01-03,50.0,50.900002,48.200001,48.299999,48.299999,67605,1.0
2019-01-04,48.25,50.099998,48.25,49.900002,49.900002,51847,1.0
2019-01-07,50.200001,50.599998,48.75,50.299999,50.299999,71686,1.0
2019-01-08,50.400002,51.200001,49.299999,49.900002,49.900002,85788,1.0
2019-01-09,49.900002,50.5,49.25,49.400002,49.400002,140596,1.0
2019-01-10,49.0,49.849998,48.700001,49.25,49.25,151981,1.0
2019-01-11,49.299999,50.799999,49.25,50.400002,50.400002,163490,1.0
2019-01-14,49.650002,50.700001,49.599998,49.75,49.75,63363,1.0
2019-01-15,49.75,50.0,49.099998,49.099998,49.099998,52761,1.0
2019-01-16,49.25,50.400002,49.099998,49.75,49.75,147201,1.0
2019-01-17,50.299999,50.799999,49.599998,49.650002,49.650002,187453,1.0
2019-01-18,49.599998,50.0,48.849998,49.099998,49.099998,151339,1.0
2019-01-21,49.099998,50.0,48.5,49.650002,49.650002,125228,1.0
2019-01-22,49.450001,49.75,48.849998,48.900002,48.900002,114457,1.0
2019-01-23,48.900002,49.299999,48.650002,48.650002,48.650002,52657,1.0
2019-01-24,48.950001,49.549999,48.349998,48.900002,48.900002,55208,1.0
2019-01-25,49.5,49.650002,48.700001,48.75,48.75,70248,1.0
2019-01-28,49.0,49.5,48.5,48.5,48.5,56890,1.0
2019-01-29,48.700001,49.150002,48.150002,48.299999,48.299999,131570,1.0
2019-01-30,48.299999,49.099998,48.299999,48.900002,48.900002,186785,1.0
2019-01-31,48.900002,50.700001,48.5,48.549999,48.549999,250454,1.0
2019-02-01,48.75,49.450001,48.5,48.650002,48.650002,138344,1.0
2019-02-04,48.75,50.700001,48.75,50.5,50.5,174198,1.0
2019-02-05,50.599998,51.400002,50.5,51.0,51.0,83915,1.0
2019-02-06,51.099998,51.400002,50.0,50.0,50.0,124791,1.0
2019-02-07,50.5,50.700001,49.599998,49.849998,49.849998,117369,1.0
2019-02-08,50.0,50.0,48.75,49.450001,49.450001,259684,1.0
2019-02-11,49.950001,53.400002,49.950001,51.299999,51.299999,337545,1.0
2019-02-12,55.0,55.099998,51.5,51.599998,51.599998,337607,1.0
2019-02-13,51.599998,52.799999,51.0,51.900002,51.900002,193124,1.0
2019-02-14,51.900002,52.099998,49.75,50.299999,50.299999,224437,1.0
2019-02-15,50.299999,50.299999,49.599998,49.849998,49.849998,140071,1.0
2019-02-18,50.0,51.5,49.950001,51.5,51.5,185033,1.0
2019-02-19,51.200001,51.200001,50.299999,50.299999,50.299999,97057,1.0
2019-02-20,50.099998,50.599998,49.599998,49.950001,49.950001,105473,1.0
2019-02-21,49.75,49.75,48.549999,49.5,49.5,252567,1.0
2019-02-22,49.299999,51.099998,49.299999,51.0,51.0,195348,1.0
2019-02-25,51.299999,51.599998,50.299999,50.599998,50.599998,60812,1.0
2019-02-26,50.400002,50.700001,50.0,50.200001,50.200001,89473,1.0
2019-02-27,50.200001,50.5,49.650002,50.299999,50.299999,62322,1.0
2019-02-28,50.299999,50.299999,49.799999,50.200001,50.200001,48953,1.0
2019-03-01,50.200001,50.5,49.950001,50.200001,50.200001,96196,1.0
2019-03-04,50.200001,50.5,49.799999,49.799999,49.799999,91813,1.0
2019-03-05,49.799999,50.200001,49.549999,49.700001,49.700001,61427,1.0
2019-03-06,49.799999,50.099998,49.150002,49.549999,49.549999,145029,1.0
2019-03-07,49.099998,49.549999,48.0,48.450001,48.450001,113095,1.0
2019-03-08,48.400002,48.5,48.049999,48.5,48.5,77249,1.0
2019-03-11,48.5,49.950001,48.5,49.849998,49.849998,127215,1.0
2019-03-12,49.700001,50.400002,49.650002,50.099998,50.099998,165942,1.0
2019-03-13,49.849998,50.400002,49.049999,49.400002,49.400002,90686,1.0
2019-03-14,49.25,49.950001,49.049999,49.450001,49.450001,122195,1.0
2019-03-15,49.450001,50.099998,49.049999,49.599998,49.599998,76159,1.0
2019-03-18,49.549999,50.5,49.549999,50.5,50.5,122022,1.0
