Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,70.36734550271206,71.24693927614445,66.555779,66.555779,66.555779,47620,0.9773242430932231
2019-01-03,69.39002034532373,69.48775081369686,66.94670976978416,67.92403399999999,67.92403399999999,182760,0.9773242302158273
2019-01-04,69.8786807760034,69.97641124202073,67.53310072537727,68.314964,68.314964,194863,0.9773242066573904
2019-01-07,69.29228820665739,69.39001867267471,67.82630189667131,68.314964,68.314964,95621,0.9773242066573904
2019-01-08,68.31496576804864,69.29229000000001,67.82630365207297,69.29229000000001,69.29229000000001,399543,0.9773242319513616
2019-01-09,69.09682259808645,71.735603,69.09682259808645,71.735603,71.735603,59780,0.9773242649230445
2019-01-10,71.73559917313261,72.32199174615572,70.85600542697689,71.442398,71.442398,43523,0.9773242127858881
2019-01-11,72.02879619906165,72.3219964137931,70.85601,70.85601,70.85601,18367,0.9773242758620689
2019-01-14,72.81065385254867,72.81065385254867,71.1492056227853,71.442398,71.442398,33085,0.9773242127858881
2019-01-15,72.22426012023801,72.8106526838488,69.97641055761434,70.07414200000001,70.07414200000001,39696,0.9773241970986416
2019-01-16,70.07414382507584,71.24693777876053,68.80362722237808,69.68321999999999,69.68321999999999,74693,0.9773242225529778
2019-01-17,69.68321910500018,70.66054331500057,69.19455699999999,69.19455699999999,69.19455699999999,428480,0.9773242100003864
2019-01-18,69.1945561845521,70.46507275595869,69.1945561845521,69.58548,69.58548,46593,0.9773241984827613
2019-01-21,71.05147375382255,71.24694350065256,69.48775584947872,69.97641800000001,69.97641800000001,41860,0.9773243010425784
2019-01-22,69.97641305306902,70.07414449893993,68.60815815101289,69.29229000000001,69.29229000000001,26094,0.9773242319513616
2019-01-23,69.39002279286798,69.39002279286798,68.3149680563594,68.510429,68.510429,33161,0.9773242646882815
2019-01-24,68.51043068879186,69.09682428473523,66.84898330716392,67.239914,67.239914,35087,0.9773242887794641
2019-01-25,67.23991469688777,68.11950070195974,66.5557828010302,66.848984,66.848984,46984,0.9773242989086462
2019-01-28,66.94671194855688,67.82630573902586,66.75125002812513,67.630836,67.630836,29431,0.9773242620227282
2019-01-29,68.02176854440212,68.02176854440212,66.94671378139329,67.239914,67.239914,35365,0.9773242887794641
2019-01-30,67.53310312066071,68.41269689249846,66.94671053051636,67.044441,67.044441,48853,0.9773242413214066
2019-01-31,68.02176282870596,69.29228820665739,67.23990835000109,68.314964,68.314964,46734,0.9773242066573904
2019-02-01,68.51042968712039,69.78095515325487,67.43537493982964,68.119499,68.119499,27651,0.9773242744902846
2019-02-04,68.1194934694934,68.41269366000888,66.94670736729441,67.337639,67.337639,32375,0.9773241951429841
2019-02-05,67.43537099999999,67.43537099999999,66.55577724969937,67.43537099999999,67.43537099999999,177875,0.9773242173913042
2019-02-06,67.43537099999999,67.43537099999999,66.36031631551799,67.43537099999999,67.43537099999999,256933,0.9773242173913042
2019-02-07,67.533104551122,68.02176668213336,66.94671194855688,67.630836,67.630836,177308,0.9773242620227282
2019-02-08,68.11949766377191,69.58548404675064,67.63083553611233,68.90136,68.90136,91395,0.9773242553191489
2019-02-11,69.0968217919709,70.17188433478967,68.70589795450798,69.390022,69.390022,17077,0.9773242535211268
2019-02-12,69.39002124285715,69.39002124285715,67.43537275714286,68.412697,68.412697,186716,0.9773242428571428
2019-02-13,68.51042745396266,70.269615,68.02176533264588,70.269615,70.269615,136661,0.9773242426335399
2019-02-14,70.26961904950622,70.95374214947745,69.87868737527566,70.46508,70.46508,10072,0.9773242989549042
2019-02-15,70.46507912220673,71.05147271695058,68.21723814923362,68.608162,68.608162,272411,0.9773242867802401
2019-02-18,69.39002142623538,71.149208,68.9013593035154,71.149208,71.149208,32328,0.9773242454399349
2019-02-19,71.24693834549058,71.34466881387482,69.780952,69.780952,69.780952,34809,0.9773242303270524
2019-02-20,69.87868412676058,70.66054646155024,68.80362940253583,69.390022,69.390022,32316,0.9773242535211268
2019-02-21,69.2922926419538,72.12653399999999,68.0217671826779,72.12653399999999,72.12653399999999,148730,0.9773242692144605
2019-02-22,72.32199278746442,75.44942738143614,72.22426231942711,75.156235,75.156235,496901,0.9773242268576273
2019-02-25,75.15623510319635,77.20861402776703,74.4721032568355,76.52449,76.52449,48654,0.9773242281995825
2019-02-26,76.32902483533951,76.32902483533951,74.76530793129434,75.449432,75.449432,233395,0.9773242866835863
2019-02-27,75.64489733080931,76.03582800000001,74.56984165550077,76.03582800000001,76.03582800000001,54657,0.9773242296661608
2019-02-28,76.03582529229412,77.11088092931894,74.37436927440648,74.569839,74.569839,62435,0.9773241948627446
2019-03-01,74.56984546296745,76.13356333295106,74.56984546296745,75.3517,75.3517,73197,0.9773242795674261
2019-03-04,75.74262601265784,75.93808792200821,74.7653018060429,75.058502,75.058502,93772,0.9773242066149399
2019-03-05,75.93808882334073,76.03582710910756,74.86303316062833,75.547165,75.547165,32419,0.9773242182151015
2019-03-06,75.54716643525478,76.32902093805954,75.25396623224734,76.13356,76.13356,33391,0.977324236782433
2019-03-07,76.3290226001902,76.3290226001902,75.25396787096774,75.74263,75.74263,27990,0.9773242580645162
2019-03-08,75.35170085467365,75.840363,75.05850845409931,75.840363,75.840363,46917,0.9773242906526879
2019-03-11,75.84036120458714,77.1108866616549,75.84036120458714,76.719955,76.719955,218352,0.9773242675159236
2019-03-12,77.20861491591567,77.99047723944197,76.52449088027902,77.013153,77.013153,115934,0.9773242394419706
2019-03-13,77.20861319727878,77.20861319727878,76.32901944671197,76.915413,76.915413,20462,0.9773242176870731
2019-03-14,77.01315692945715,77.89274292588877,75.93809434727241,77.697281,77.697281,194222,0.9773242893081762
2019-03-15,77.69728023690254,80.824715,77.3063485703702,80.824715,80.824715,184944,0.977324279709466
2019-03-18,80.4337928219729,80.4337928219729,77.69728185,78.18594399999999,78.18594399999999,93835,0.9773242999999999
2019-03-19,79.06553063912047,79.16326110559007,78.38139880467332,78.674599,78.674599,66606,0.9773242111801242
2019-03-20,78.96780085392392,80.5315186473314,78.7723311209613,80.140587,80.140587,47100,0.9773242317073171
2019-03-21,80.23832225537606,80.53152345167697,79.84739156204678,80.43379200000001,80.43379200000001,34805,0.9773242900124804
2019-03-22,81.11791123170732,81.70430381608324,79.94512508563123,80.140587,80.140587,43065,0.9773242317073171
2019-03-25,80.04285960584772,80.53152174047042,79.26099628115432,80.336052,80.336052,25171,0.9773242692454113
2019-03-26,81.11791057706131,82.97482855696778,80.43378655235996,82.388435,82.388435,89096,0.9773242238200157
2019-03-27,82.77936027766583,82.77936027766583,80.72698034896598,81.117912,81.117912,180055,0.9773242409638555
2019-03-28,81.117912,82.19296671041177,80.72698034896598,81.117912,81.117912,55019,0.9773242409638555
2019-03-29,81.31337081754282,81.60657101063147,80.72697727263494,80.92244699999999,80.92244699999999,41430,0.9773242037201374
2019-04-01,80.9224502047,81.80203615893636,79.45646384106364,80.62925,80.62925,69257,0.9773242424242424
2019-04-02,81.02018405501393,82.38843901232025,79.84739004269368,81.215645,81.215645,449400,0.9773242714157465
2019-04-03,82.48616820249725,84.92947881410416,81.70430489748607,83.36576099999999,83.36576099999999,338270,0.9773242446427579
2019-04-04,83.3657615522126,84.44081725111653,82.38843730109608,83.463493,83.463493,55651,0.9773242511165281
2019-04-05,84.04988496135704,85.22267112186836,83.56122283948869,84.734009,84.734009,65042,0.9773242437367098
2019-04-08,84.73401052241572,86.1022654655548,83.65895481231406,83.952156,83.952156,35306,0.9773242612962919
2019-04-09,85.02720570168192,85.02720570168192,82.290695,82.290695,82.290695,33638,0.9773242034676083
2019-04-10,82.29069828014848,82.38843656833637,80.62925,80.62925,80.62925,202961,0.9773242424242424
2019-04-11,80.72698034896598,81.70430458992983,80.14058775903615,81.117912,81.117912,182815,0.9773242409638555
2019-04-12,80.53151941007017,81.117912,79.74965610800213,81.117912,81.117912,55322,0.9773242409638555
2019-04-15,81.02018491206921,82.09523966735023,81.02018491206921,81.704308,81.704308,29218,0.9773242817541694
2019-04-16,81.80203927970946,81.80203927970946,80.2383214094986,80.824715,80.824715,57990,0.977324279709466
2019-04-17,81.02018153055211,81.60657412048194,80.92245008377996,81.117912,81.117912,29594,0.9773242409638555
2019-04-18,81.11790888781148,82.38843328429199,81.11790888781148,82.290695,82.290695,12666,0.9773242034676083
2019-04-23,82.58389680135353,83.07255891260414,80.43378644382351,81.02018000000001,81.02018000000001,38796,0.9773242225012252
2019-04-24,81.02018153055211,81.99750577151596,80.72698034896598,81.117912,81.117912,31426,0.9773242409638555
2019-04-25,81.21564413047606,81.21564413047606,80.43378960833566,80.72698199999999,80.72698199999999,60442,0.9773242609521612
2019-04-26,80.9224476620104,82.48616542343088,79.74965372133082,80.53151700000001,80.53151700000001,49167,0.9773242117154318
2019-04-29,80.53151941007017,81.80203603670198,80.53151941007017,81.117912,81.117912,201095,0.9773242409638555
2019-04-30,81.21564325036111,81.4111129870546,80.23831899999999,80.23831899999999,80.23831899999999,60401,0.9773242503611266
2019-05-02,80.62925163704938,86.39546673907476,77.59954837866938,86.199997,86.199997,341207,0.9773242622672652
2019-05-03,84.900002,87.599998,84.199997,86.300003,86.300003,283312,1.0
2019-05-06,86.300003,86.300003,83.0,86.0,86.0,35682,1.0
2019-05-07,86.0,87.0,85.0,85.599998,85.599998,138297,1.0
2019-05-08,85.800003,86.5,83.300003,85.199997,85.199997,79535,1.0
2019-05-09,85.199997,85.199997,82.400002,83.099998,83.099998,51139,1.0
2019-05-10,85.0,85.0,83.400002,83.900002,83.900002,56588,1.0
2019-05-13,84.199997,84.900002,83.400002,83.699997,83.699997,55515,1.0
2019-05-14,83.5,86.699997,83.5,85.300003,85.300003,56503,1.0
2019-05-15,85.599998,86.5,84.599998,86.0,86.0,26491,1.0
2019-05-16,86.900002,87.400002,85.199997,87.400002,87.400002,42064,1.0
2019-05-17,87.300003,88.0,87.0,87.5,87.5,165650,1.0
2019-05-20,88.5,89.5,87.099998,88.0,88.0,28203,1.0
2019-05-21,89.599998,90.5,85.0,87.400002,87.400002,239217,1.0
2019-05-22,88.0,88.300003,83.800003,84.5,84.5,855971,1.0
2019-05-23,84.599998,84.699997,80.800003,81.0,81.0,244905,1.0
2019-05-24,81.199997,83.699997,81.199997,82.5,82.5,53638,1.0
2019-05-27,83.099998,83.5,80.5,81.400002,81.400002,207106,1.0
2019-05-28,82.0,82.099998,80.300003,81.0,81.0,84601,1.0
2019-05-29,80.900002,83.0,80.5,83.0,83.0,156364,1.0
2019-05-31,83.0,83.0,80.5,80.5,80.5,194558,1.0
2019-06-03,80.699997,81.699997,80.199997,81.699997,81.699997,429054,1.0
2019-06-04,81.400002,82.400002,79.5,81.800003,81.800003,172351,1.0
2019-06-05,82.0,82.599998,81.5,81.699997,81.699997,394033,1.0
2019-06-07,84.900002,85.599998,83.099998,84.199997,84.199997,156393,1.0
2019-06-11,83.800003,85.300003,83.800003,84.599998,84.599998,87605,1.0
2019-06-12,84.5,87.400002,84.5,86.300003,86.300003,852735,1.0
2019-06-13,86.5,88.300003,84.400002,88.0,88.0,321046,1.0
2019-06-14,89.0,89.300003,87.900002,89.0,89.0,218540,1.0
2019-06-18,89.0,89.099998,87.400002,89.099998,89.099998,212973,1.0
2019-06-19,89.0,89.900002,88.0,89.599998,89.599998,116695,1.0
2019-06-20,90.599998,91.099998,89.199997,91.0,91.0,309198,1.0
2019-06-24,90.099998,91.300003,87.900002,88.5,88.5,91665,1.0
2019-06-25,88.5,89.5,87.900002,88.400002,88.400002,145869,1.0
2019-06-26,89.699997,89.699997,86.199997,86.699997,86.699997,213750,1.0
2019-06-27,89.400002,89.400002,86.099998,86.900002,86.900002,32538,1.0
2019-06-28,87.099998,87.300003,84.800003,85.800003,85.800003,116530,1.0
2019-07-01,88.300003,88.699997,85.800003,85.900002,85.900002,55396,1.0
2019-07-02,85.900002,86.599998,85.699997,86.300003,86.300003,62752,1.0
2019-07-03,86.300003,86.400002,85.199997,86.0,86.0,242177,1.0
2019-07-04,88.0,88.300003,86.5,87.400002,87.400002,73388,1.0
2019-07-05,90.300003,90.300003,86.199997,87.699997,87.699997,86149,1.0
2019-07-08,87.599998,88.300003,86.300003,87.199997,87.199997,55850,1.0
2019-07-09,86.400002,87.800003,86.400002,87.800003,87.800003,36068,1.0
2019-07-10,88.900002,88.900002,86.400002,87.300003,87.300003,25450,1.0
2019-07-11,87.199997,87.300003,86.5,86.900002,86.900002,19202,1.0
2019-07-12,86.900002,87.800003,86.400002,87.099998,87.099998,28393,1.0
2019-07-15,87.0,88.0,85.800003,87.199997,87.199997,50727,1.0
2019-07-16,86.800003,87.199997,84.800003,85.199997,85.199997,27876,1.0
2019-07-17,84.400002,85.199997,82.400002,83.199997,83.199997,68356,1.0
2019-07-18,83.400002,84.5,80.099998,81.0,81.0,64506,1.0
2019-07-19,80.900002,80.900002,78.5,80.5,80.5,140093,1.0
2019-07-22,80.199997,80.5,78.699997,80.400002,80.400002,75182,1.0
2019-07-23,80.5,81.300003,80.099998,80.599998,80.599998,100353,1.0
2019-07-24,81.400002,82.599998,79.900002,81.5,81.5,93816,1.0
2019-07-25,82.400002,83.599998,81.0,83.300003,83.300003,82954,1.0
2019-07-26,83.199997,83.5,81.900002,82.699997,82.699997,34527,1.0
2019-07-29,83.900002,83.900002,81.900002,82.5,82.5,35214,1.0
2019-07-30,82.300003,82.5,81.099998,81.800003,81.800003,33238,1.0
2019-07-31,81.800003,81.900002,80.300003,81.699997,81.699997,90146,1.0
2019-08-01,82.0,82.900002,81.400002,82.300003,82.300003,28274,1.0
2019-08-02,81.0,81.800003,79.900002,79.900002,79.900002,123158,1.0
2019-08-06,77.199997,77.199997,76.199997,76.5,76.5,87905,1.0
2019-08-07,76.0,77.300003,75.300003,77.0,77.0,259158,1.0
2019-08-08,77.0,80.0,76.800003,79.0,79.0,141958,1.0
2019-08-09,78.900002,79.5,77.800003,78.400002,78.400002,151675,1.0
2019-08-12,78.300003,80.599998,78.0,79.599998,79.599998,86711,1.0
2019-08-13,80.0,81.300003,77.699997,81.0,81.0,197926,1.0
2019-08-14,81.0,81.0,78.300003,79.300003,79.300003,205395,1.0
2019-08-15,79.199997,80.099998,76.599998,77.5,77.5,211851,1.0
2019-08-16,77.400002,80.800003,77.400002,79.400002,79.400002,82995,1.0
2019-08-19,79.300003,81.199997,79.300003,80.400002,80.400002,55788,1.0
2019-08-20,80.800003,81.5,78.300003,78.900002,78.900002,50266,1.0
