Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,36.400002,37.099998,36.400002,36.799999,36.799999,1316,1.0
2019-01-03,36.799999,36.799999,36.799999,36.799999,36.799999,0,1.0
2019-01-04,37.299999,38.099998,37.200001,37.299999,37.299999,27689,1.0
2019-01-07,37.700001,37.700001,37.299999,37.299999,37.299999,2307,1.0
2019-01-08,37.200001,37.200001,36.0,36.299999,36.299999,111799,1.0
2019-01-09,36.0,36.0,34.299999,35.200001,35.200001,71908,1.0
2019-01-10,34.299999,35.099998,34.0,35.099998,35.099998,15868,1.0
2019-01-11,34.5,34.5,34.0,34.0,34.0,4418,1.0
2019-01-14,34.0,34.099998,33.900002,34.0,34.0,21225,1.0
2019-01-15,34.400002,34.400002,32.5,33.0,33.0,20736,1.0
2019-01-16,33.0,34.799999,32.0,34.700001,34.700001,15428,1.0
2019-01-17,35.5,35.5,33.400002,33.400002,33.400002,12371,1.0
2019-01-18,34.099998,34.099998,33.0,33.599998,33.599998,48163,1.0
2019-01-21,33.099998,33.900002,33.099998,33.900002,33.900002,5145,1.0
2019-01-22,33.900002,34.400002,33.799999,34.400002,34.400002,16614,1.0
2019-01-23,34.0,34.299999,33.599998,34.299999,34.299999,473,1.0
2019-01-24,34.400002,34.400002,30.9,32.0,32.0,40666,1.0
2019-01-25,32.200001,33.099998,32.200001,33.0,33.0,14659,1.0
2019-01-28,33.0,33.0,33.0,33.0,33.0,0,1.0
2019-01-29,33.700001,34.0,33.400002,33.599998,33.599998,1722,1.0
2019-01-30,33.599998,33.599998,33.299999,33.400002,33.400002,659,1.0
2019-01-31,34.099998,34.099998,34.099998,34.099998,34.099998,458,1.0
2019-02-01,34.099998,34.400002,34.0,34.0,34.0,3903,1.0
2019-02-04,33.900002,37.5,33.5,36.900002,36.900002,52822,1.0
2019-02-05,36.700001,36.700001,35.900002,35.900002,35.900002,27683,1.0
2019-02-06,36.0,36.5,36.0,36.0,36.0,32587,1.0
2019-02-07,36.200001,36.400002,36.200001,36.400002,36.400002,1679,1.0
2019-02-08,36.900002,37.5,36.5,37.5,37.5,22853,1.0
2019-02-11,37.400002,37.400002,37.0,37.400002,37.400002,23150,1.0
2019-02-12,37.099998,37.099998,37.0,37.0,37.0,2000,1.0
2019-02-13,37.400002,37.900002,37.400002,37.900002,37.900002,11171,1.0
2019-02-14,37.400002,37.799999,37.400002,37.799999,37.799999,2100,1.0
2019-02-15,37.5,37.5,37.400002,37.400002,37.400002,2970,1.0
2019-02-18,37.5,37.5,37.400002,37.400002,37.400002,7462,1.0
2019-02-19,37.200001,37.299999,37.200001,37.299999,37.299999,574,1.0
2019-02-20,37.299999,38.0,37.0,37.0,37.0,10260,1.0
2019-02-21,38.0,38.0,37.5,37.5,37.5,1055,1.0
2019-02-22,38.0,38.0,37.599998,37.599998,37.599998,1335,1.0
2019-02-25,38.5,38.5,37.900002,37.900002,37.900002,33,1.0
2019-02-26,37.900002,37.900002,37.400002,37.5,37.5,2630,1.0
2019-02-27,37.299999,37.799999,37.299999,37.799999,37.799999,630,1.0
2019-02-28,37.400002,37.400002,37.400002,37.400002,37.400002,533,1.0
2019-03-01,37.799999,37.900002,37.799999,37.900002,37.900002,650,1.0
2019-03-04,37.299999,37.799999,37.200001,37.799999,37.799999,1613,1.0
2019-03-05,37.299999,38.0,37.0,38.0,38.0,18057,1.0
2019-03-06,37.299999,37.299999,37.200001,37.200001,37.200001,3000,1.0
2019-03-07,37.200001,37.299999,37.099998,37.200001,37.200001,2943,1.0
2019-03-08,37.200001,37.200001,37.200001,37.200001,37.200001,1790,1.0
2019-03-11,37.700001,37.700001,37.599998,37.599998,37.599998,40,1.0
2019-03-12,37.599998,37.599998,37.599998,37.599998,37.599998,0,1.0
2019-03-13,37.5,37.5,37.5,37.5,37.5,998,1.0
2019-03-14,37.5,37.5,37.5,37.5,37.5,0,1.0
2019-03-15,37.200001,37.200001,37.099998,37.099998,37.099998,436,1.0
2019-03-18,37.400002,37.799999,37.400002,37.5,37.5,1170,1.0
2019-03-19,37.5,37.5,37.5,37.5,37.5,650,1.0
2019-03-20,37.5,37.5,37.5,37.5,37.5,125,1.0
2019-03-21,37.5,37.5,37.5,37.5,37.5,1320,1.0
2019-03-22,37.5,37.5,37.400002,37.5,37.5,5611,1.0
2019-03-25,37.5,37.5,37.5,37.5,37.5,0,1.0
2019-03-26,37.5,37.5,37.5,37.5,37.5,0,1.0
2019-03-27,37.5,37.700001,37.299999,37.5,37.5,1090,1.0
2019-03-28,37.5,37.5,37.5,37.5,37.5,0,1.0
2019-03-29,38.0,38.900002,37.900002,38.5,38.5,15561,1.0
2019-04-01,39.0,39.5,39.0,39.200001,39.200001,8844,1.0
2019-04-02,39.099998,39.700001,39.099998,39.700001,39.700001,12080,1.0
2019-04-03,38.799999,38.799999,38.799999,38.799999,38.799999,40,1.0
2019-04-04,38.900002,39.700001,38.900002,39.700001,39.700001,20071,1.0
2019-04-05,39.599998,39.700001,39.400002,39.700001,39.700001,52980,1.0
2019-04-08,39.599998,39.700001,39.200001,39.299999,39.299999,10522,1.0
2019-04-09,39.400002,39.599998,39.200001,39.599998,39.599998,13010,1.0
2019-04-10,39.599998,39.799999,39.599998,39.700001,39.700001,22862,1.0
2019-04-11,39.299999,39.299999,39.299999,39.299999,39.299999,5225,1.0
2019-04-12,39.299999,39.299999,39.299999,39.299999,39.299999,0,1.0
2019-04-15,39.0,39.200001,39.0,39.200001,39.200001,1130,1.0
2019-04-16,39.200001,39.200001,39.200001,39.200001,39.200001,500,1.0
2019-04-17,39.700001,40.200001,39.700001,40.200001,40.200001,57925,1.0
2019-04-18,40.200001,40.200001,40.200001,40.200001,40.200001,500,1.0
2019-04-23,40.099998,40.099998,40.099998,40.099998,40.099998,500,1.0
2019-04-24,40.099998,40.099998,40.099998,40.099998,40.099998,0,1.0
2019-04-25,40.099998,40.099998,40.099998,40.099998,40.099998,0,1.0
2019-04-26,40.099998,40.099998,40.099998,40.099998,40.099998,0,1.0
2019-04-29,40.299999,40.5,40.299999,40.5,40.5,1029,1.0
2019-04-30,40.5,40.900002,40.5,40.5,40.5,1602,1.0
2019-05-02,40.5,40.5,40.299999,40.299999,40.299999,4150,1.0
2019-05-03,40.299999,40.299999,40.299999,40.299999,40.299999,7150,1.0
2019-05-06,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-05-07,40.299999,40.299999,40.299999,40.299999,40.299999,225,1.0
2019-05-08,40.299999,40.299999,40.299999,40.299999,40.299999,1577,1.0
2019-05-09,40.299999,40.299999,40.299999,40.299999,40.299999,9102,1.0
2019-05-10,40.299999,40.299999,40.299999,40.299999,40.299999,1000,1.0
2019-05-13,40.299999,40.299999,40.299999,40.299999,40.299999,1000,1.0
2019-05-14,40.400002,40.5,40.200001,40.299999,40.299999,15581,1.0
2019-05-15,40.400002,40.400002,39.900002,40.0,40.0,13026,1.0
2019-05-16,40.400002,40.400002,40.400002,40.400002,40.400002,4218,1.0
2019-05-17,40.299999,40.299999,40.299999,40.299999,40.299999,18282,1.0
2019-05-20,40.299999,41.299999,40.299999,40.299999,40.299999,5800,1.0
2019-05-21,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-05-22,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-05-23,40.5,40.5,40.299999,40.299999,40.299999,5000,1.0
2019-05-24,40.299999,40.299999,40.299999,40.299999,40.299999,2362,1.0
2019-05-27,40.299999,40.299999,40.299999,40.299999,40.299999,4000,1.0
2019-05-28,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-05-29,41.0,41.0,40.299999,40.299999,40.299999,11000,1.0
2019-05-31,40.299999,40.400002,40.299999,40.299999,40.299999,10000,1.0
2019-06-03,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-06-04,40.299999,40.299999,40.299999,40.299999,40.299999,0,1.0
2019-06-05,40.299999,40.299999,40.299999,40.299999,40.299999,7155,1.0
2019-06-07,40.299999,40.299999,40.299999,40.299999,40.299999,4000,1.0
2019-06-11,40.299999,40.299999,40.200001,40.299999,40.299999,33210,1.0
2019-06-12,40.299999,40.299999,40.099998,40.099998,40.099998,117000,1.0
2019-06-13,40.0,40.0,40.0,40.0,40.0,100000,1.0
2019-06-14,40.099998,40.099998,40.099998,40.099998,40.099998,1,1.0
2019-06-18,40.0,40.0,40.0,40.0,40.0,9000,1.0
2019-06-19,40.0,40.0,40.0,40.0,40.0,0,1.0
2019-06-20,40.0,40.0,40.0,40.0,40.0,0,1.0
2019-06-24,40.0,40.0,40.0,40.0,40.0,20245,1.0
2019-06-25,40.0,40.0,40.0,40.0,40.0,0,1.0
2019-06-26,40.0,40.0,40.0,40.0,40.0,2633,1.0
2019-06-27,40.0,40.0,40.0,40.0,40.0,6810,1.0
2019-06-28,40.0,40.0,40.0,40.0,40.0,2635,1.0
2019-07-01,40.0,41.0,40.0,41.0,41.0,8877,1.0
