Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,93.0,93.0,91.800003,92.099998,92.099998,95721,1.0
2019-01-03,92.099998,92.699997,91.0,91.300003,91.300003,18316,1.0
2019-01-04,91.300003,94.599998,91.300003,94.199997,94.199997,18397,1.0
2019-01-07,94.699997,95.5,94.199997,95.5,95.5,18044,1.0
2019-01-08,95.5,97.199997,95.5,96.800003,96.800003,22326,1.0
2019-01-09,96.800003,97.5,96.199997,96.5,96.5,48107,1.0
2019-01-10,96.5,97.5,95.800003,97.300003,97.300003,15719,1.0
2019-01-11,97.300003,97.400002,95.599998,95.599998,95.599998,40011,1.0
2019-01-14,95.0,95.400002,94.5,95.199997,95.199997,16250,1.0
2019-01-15,95.199997,95.5,94.099998,94.900002,94.900002,14063,1.0
2019-01-16,94.5,96.199997,94.5,96.099998,96.099998,21851,1.0
2019-01-17,96.099998,97.300003,95.199997,96.400002,96.400002,34487,1.0
2019-01-18,97.800003,97.800003,94.800003,95.900002,95.900002,28694,1.0
2019-01-21,96.0,97.900002,96.0,96.900002,96.900002,21764,1.0
2019-01-22,97.800003,97.800003,97.0,97.800003,97.800003,10548,1.0
2019-01-23,98.0,99.099998,97.199997,98.599998,98.599998,22012,1.0
2019-01-24,99.400002,99.800003,99.300003,99.599998,99.599998,13849,1.0
2019-01-25,100.0,100.0,99.400002,99.900002,99.900002,12607,1.0
2019-01-28,100.199997,100.199997,98.099998,98.199997,98.199997,18008,1.0
2019-01-29,98.300003,99.400002,97.800003,98.699997,98.699997,13499,1.0
2019-01-30,99.699997,100.0,98.400002,99.800003,99.800003,20514,1.0
2019-01-31,99.800003,101.599998,99.800003,101.400002,101.400002,19130,1.0
2019-02-01,102.0,105.199997,102.0,104.199997,104.199997,74213,1.0
2019-02-04,104.199997,106.199997,103.199997,105.0,105.0,24756,1.0
2019-02-05,105.800003,107.800003,105.599998,107.0,107.0,22909,1.0
2019-02-06,108.0,108.0,104.400002,105.0,105.0,20561,1.0
2019-02-07,105.199997,105.800003,103.400002,103.400002,103.400002,19565,1.0
2019-02-08,103.0,103.199997,95.300003,102.400002,102.400002,17283,1.0
2019-02-11,102.599998,104.800003,102.599998,104.199997,104.199997,11939,1.0
2019-02-12,104.400002,106.599998,104.400002,106.599998,106.599998,20570,1.0
2019-02-13,106.599998,107.400002,106.0,107.0,107.0,8203,1.0
2019-02-14,107.800003,108.199997,107.0,108.0,108.0,14646,1.0
2019-02-15,107.199997,109.0,107.0,109.0,109.0,30082,1.0
2019-02-18,109.0,110.0,107.800003,108.400002,108.400002,15133,1.0
2019-02-19,109.0,109.0,107.0,109.0,109.0,28854,1.0
2019-02-20,109.400002,109.599998,107.599998,109.199997,109.199997,10140,1.0
2019-02-21,109.199997,109.800003,109.0,109.199997,109.199997,9496,1.0
2019-02-22,109.199997,109.599998,107.599998,108.599998,108.599998,28202,1.0
2019-02-25,109.199997,109.800003,108.199997,108.599998,108.599998,20895,1.0
2019-02-26,108.800003,108.800003,107.599998,108.400002,108.400002,25571,1.0
2019-02-27,108.400002,109.800003,107.599998,108.199997,108.199997,28237,1.0
2019-02-28,108.0,108.0,107.599998,107.800003,107.800003,22245,1.0
2019-03-01,107.800003,110.800003,107.800003,110.0,110.0,35559,1.0
2019-03-04,110.199997,114.0,110.0,113.800003,113.800003,20572,1.0
2019-03-05,114.0,114.0,111.0,112.199997,112.199997,15095,1.0
2019-03-06,112.199997,113.199997,110.199997,110.800003,110.800003,13468,1.0
2019-03-07,111.0,111.0,109.199997,109.599998,109.599998,10885,1.0
2019-03-08,108.0,110.400002,108.0,110.0,110.0,10755,1.0
2019-03-11,110.0,111.0,109.400002,110.0,110.0,8641,1.0
2019-03-12,111.0,111.0,109.599998,111.0,111.0,6725,1.0
2019-03-13,111.0,111.599998,110.0,110.199997,110.199997,8163,1.0
2019-03-14,111.800003,113.800003,111.199997,113.800003,113.800003,8947,1.0
2019-03-15,113.599998,114.199997,111.400002,113.599998,113.599998,33346,1.0
2019-03-18,113.0,114.400002,111.800003,114.400002,114.400002,40155,1.0
2019-03-19,114.400002,114.400002,113.199997,114.0,114.0,8895,1.0
2019-03-20,114.400002,114.400002,112.599998,112.800003,112.800003,6885,1.0
2019-03-21,112.800003,113.199997,112.599998,112.599998,112.599998,7447,1.0
2019-03-22,113.0,114.0,112.599998,112.800003,112.800003,17201,1.0
