Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,12.3,12.66,12.0,12.4,12.4,9642,1.0
2019-01-03,12.4,12.46,11.76,12.08,12.08,14278,1.0
2019-01-04,12.08,12.4,12.02,12.4,12.4,12805,1.0
2019-01-07,12.4,12.4,12.12,12.3,12.3,7769,1.0
2019-01-08,12.3,12.48,12.02,12.1,12.1,3835,1.0
2019-01-09,12.0,12.94,11.9,12.94,12.94,31510,1.0
2019-01-10,13.32,13.76,13.16,13.76,13.76,43470,1.0
2019-01-11,13.8,13.9,13.26,13.48,13.48,9495,1.0
2019-01-14,13.98,13.98,13.24,13.24,13.24,8044,1.0
2019-01-15,13.24,13.7,12.1,13.32,13.32,9011,1.0
2019-01-16,13.0,13.5,13.0,13.5,13.5,6797,1.0
2019-01-17,13.5,13.5,13.0,13.42,13.42,16773,1.0
2019-01-18,12.9,13.28,12.9,13.28,13.28,1052,1.0
2019-01-21,13.26,13.26,12.7,13.08,13.08,9428,1.0
2019-01-22,12.62,12.94,12.6,12.78,12.78,12656,1.0
2019-01-23,12.34,12.98,12.34,12.74,12.74,4773,1.0
2019-01-24,12.72,12.98,12.72,12.88,12.88,5535,1.0
2019-01-25,12.92,13.0,12.42,12.78,12.78,23268,1.0
2019-01-28,12.5,13.26,12.5,12.74,12.74,27787,1.0
2019-01-29,13.0,13.0,12.4,12.8,12.8,72786,1.0
2019-01-30,12.92,13.18,12.84,13.08,13.08,25204,1.0
2019-01-31,13.18,13.18,12.84,12.9,12.9,69913,1.0
2019-02-01,15.44,15.58,14.0,14.28,14.28,830642,1.0
2019-02-04,14.1,14.12,13.38,13.38,13.38,163949,1.0
2019-02-05,13.42,13.8,13.0,13.16,13.16,169172,1.0
2019-02-06,13.16,13.54,13.0,13.44,13.44,618967,1.0
2019-02-07,13.46,13.78,13.2,13.52,13.52,116522,1.0
2019-02-08,13.34,13.58,13.2,13.38,13.38,30967,1.0
2019-02-11,13.36,13.36,12.9,13.04,13.04,88166,1.0
2019-02-12,13.0,13.1,12.8,12.88,12.88,82841,1.0
2019-02-13,12.88,13.24,12.88,13.02,13.02,118960,1.0
2019-02-14,12.82,12.98,12.74,12.92,12.92,45093,1.0
2019-02-15,12.88,12.94,12.7,12.9,12.9,39794,1.0
2019-02-18,12.9,12.9,12.3,12.7,12.7,73955,1.0
2019-02-19,12.72,12.8,12.5,12.68,12.68,44816,1.0
2019-02-20,12.6,12.8,12.4,12.48,12.48,57811,1.0
2019-02-21,12.48,12.62,12.26,12.28,12.28,40604,1.0
2019-02-22,12.28,12.5,12.12,12.42,12.42,33368,1.0
2019-02-25,12.42,12.5,12.12,12.4,12.4,35544,1.0
2019-02-26,12.34,12.38,12.2,12.34,12.34,24228,1.0
2019-02-27,12.36,12.9,12.36,12.78,12.78,357713,1.0
2019-02-28,12.86,12.96,12.42,12.76,12.76,25950,1.0
2019-03-01,12.76,12.84,12.52,12.7,12.7,14711,1.0
2019-03-04,12.72,12.72,12.5,12.68,12.68,10468,1.0
2019-03-05,12.6,13.1,12.6,12.98,12.98,427634,1.0
2019-03-06,12.98,13.16,12.9,13.02,13.02,37248,1.0
2019-03-07,13.02,13.08,12.72,13.02,13.02,114211,1.0
2019-03-08,12.8,13.02,12.56,12.9,12.9,71362,1.0
2019-03-11,12.9,13.22,12.42,13.0,13.0,61455,1.0
2019-03-12,13.0,13.84,12.68,13.5,13.5,91110,1.0
2019-03-13,13.8,13.8,13.3,13.36,13.36,18682,1.0
2019-03-14,12.98,13.36,12.98,13.1,13.1,342539,1.0
2019-03-15,13.5,13.5,12.84,12.98,12.98,508034,1.0
2019-03-18,13.0,13.1,12.78,13.1,13.1,67675,1.0
2019-03-19,12.98,13.1,12.72,13.0,13.0,75403,1.0
2019-03-20,13.0,13.04,12.62,13.0,13.0,47314,1.0
2019-03-21,12.98,12.98,12.8,12.92,12.92,7595,1.0
2019-03-22,13.0,13.0,12.6,12.9,12.9,11496,1.0
2019-03-25,12.86,12.86,12.44,12.8,12.8,6363,1.0
2019-03-26,12.8,13.1,12.72,12.88,12.88,135008,1.0
2019-03-27,12.98,13.3,12.96,13.3,13.3,32403,1.0
2019-03-28,13.3,13.44,12.76,12.82,12.82,11937,1.0
2019-03-29,13.24,13.4,12.72,12.8,12.8,38060,1.0
2019-04-01,12.9,13.22,12.68,12.68,12.68,68520,1.0
2019-04-02,12.68,13.2,12.58,13.0,13.0,79157,1.0
2019-04-03,13.14,13.2,13.0,13.18,13.18,7660,1.0
2019-04-04,13.18,13.2,12.8,13.04,13.04,27653,1.0
2019-04-05,13.06,13.48,12.8,13.48,13.48,8235,1.0
2019-04-08,13.42,13.42,12.9,13.08,13.08,7697,1.0
2019-04-09,13.2,13.2,12.9,13.08,13.08,12955,1.0
2019-04-10,12.9,13.08,12.7,13.0,13.0,24436,1.0
2019-04-11,13.0,13.42,12.98,13.16,13.16,23833,1.0
2019-04-12,13.0,13.38,12.98,13.1,13.1,13602,1.0
2019-04-15,13.2,13.2,12.7,13.18,13.18,10113,1.0
2019-04-16,13.1,13.1,12.8,13.04,13.04,3290,1.0
2019-04-17,13.0,13.02,12.8,13.0,13.0,28763,1.0
2019-04-18,13.0,13.02,12.9,13.02,13.02,12262,1.0
2019-04-23,13.08,13.2,13.0,13.2,13.2,33188,1.0
2019-04-24,13.2,13.4,13.0,13.28,13.28,29329,1.0
2019-04-25,13.3,13.3,12.0,12.98,12.98,76097,1.0
2019-04-26,12.6,13.02,12.52,12.64,12.64,13545,1.0
