Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,12.8,13.55,12.8,13.44,13.44,218009,1.0
2019-01-03,13.4,13.84,13.33,13.45,13.45,235907,1.0
2019-01-04,13.51,14.0,13.51,13.85,13.85,197084,1.0
2019-01-07,13.91,13.91,13.54,13.73,13.73,126567,1.0
2019-01-08,14.12,14.12,13.68,13.7,13.7,85337,1.0
2019-01-09,13.7,13.9,13.65,13.75,13.75,254654,1.0
2019-01-10,13.88,13.88,13.7,13.8,13.8,70294,1.0
2019-01-11,13.86,14.08,13.7,13.85,13.85,222495,1.0
2019-01-14,13.86,14.1,13.8,14.1,14.1,87650,1.0
2019-01-15,14.14,14.14,13.85,13.87,13.87,47443,1.0
2019-01-16,13.87,14.57,13.87,14.38,14.38,157672,1.0
2019-01-17,14.7,15.24,14.4,14.57,14.57,344213,1.0
2019-01-18,14.58,14.93,14.18,14.93,14.93,267397,1.0
2019-01-21,14.99,14.99,14.36,14.46,14.46,65891,1.0
2019-01-22,14.46,14.66,14.27,14.54,14.54,51597,1.0
2019-01-23,14.2,14.67,14.2,14.51,14.51,55174,1.0
2019-01-24,14.51,14.77,14.47,14.65,14.65,30661,1.0
2019-01-25,14.66,14.69,14.4,14.54,14.54,69868,1.0
2019-01-28,14.88,14.88,14.3,14.36,14.36,63052,1.0
2019-01-29,14.38,14.38,14.09,14.27,14.27,50411,1.0
2019-01-30,14.13,14.37,13.91,14.28,14.28,135060,1.0
2019-01-31,14.3,14.35,14.1,14.35,14.35,104342,1.0
2019-02-01,14.36,14.84,14.24,14.8,14.8,114537,1.0
2019-02-04,14.81,14.82,14.31,14.52,14.52,70934,1.0
2019-02-05,14.64,14.84,14.55,14.7,14.7,112305,1.0
2019-02-06,14.8,14.8,14.32,14.4,14.4,39849,1.0
2019-02-07,14.2,14.69,14.19,14.4,14.4,111199,1.0
2019-02-08,14.49,14.7,14.21,14.7,14.7,108777,1.0
2019-02-11,14.72,14.96,14.41,14.81,14.81,152165,1.0
2019-02-12,15.0,15.0,14.6,14.72,14.72,68309,1.0
