Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,104.5,104.5,100.5,102.5,102.5,12308,1.0
2019-01-03,105.0,110.0,105.0,110.0,110.0,24142,1.0
2019-01-04,108.0,110.0,107.5,110.0,110.0,8768,1.0
2019-01-07,110.0,113.0,109.5,112.5,112.5,7358,1.0
2019-01-08,112.5,114.5,111.0,114.5,114.5,13045,1.0
2019-01-09,114.5,114.5,111.0,112.0,112.0,7184,1.0
2019-01-10,110.0,111.0,107.0,111.0,111.0,10090,1.0
2019-01-11,110.5,110.5,108.5,110.0,110.0,3879,1.0
2019-01-14,109.0,114.0,106.0,114.0,114.0,9095,1.0
2019-01-15,114.0,114.0,110.5,113.0,113.0,3875,1.0
2019-01-16,113.0,114.0,112.5,112.5,112.5,1370,1.0
2019-01-17,114.0,114.0,109.5,110.5,110.5,689,1.0
2019-01-18,110.5,115.0,110.0,114.5,114.5,9518,1.0
2019-01-21,114.5,114.5,113.5,113.5,113.5,1248,1.0
2019-01-22,114.0,114.0,112.0,113.5,113.5,3159,1.0
2019-01-23,113.0,113.0,111.0,112.5,112.5,4276,1.0
2019-01-24,113.0,113.5,112.0,112.5,112.5,3124,1.0
2019-01-25,112.5,113.0,111.0,112.0,112.0,8948,1.0
2019-01-28,111.5,115.0,111.5,115.0,115.0,89340,1.0
2019-01-29,115.0,115.0,113.0,114.0,114.0,6201,1.0
2019-01-30,113.5,115.0,111.5,114.0,114.0,6100,1.0
2019-01-31,116.0,125.0,115.5,121.5,121.5,39648,1.0
2019-02-01,122.0,124.5,120.5,122.5,122.5,23877,1.0
2019-02-04,123.5,128.0,123.0,128.0,128.0,27633,1.0
2019-02-05,127.5,128.5,124.0,126.0,126.0,18445,1.0
2019-02-06,126.5,126.5,121.5,125.0,125.0,31028,1.0
2019-02-07,130.0,136.0,130.0,134.0,134.0,498863,1.0
2019-02-08,133.5,138.5,129.0,134.5,134.5,62643,1.0
2019-02-11,134.5,139.5,134.0,137.5,137.5,93175,1.0
2019-02-12,137.5,141.0,137.5,138.0,138.0,69464,1.0
2019-02-13,139.5,140.0,131.0,135.5,135.5,74982,1.0
2019-02-14,139.0,140.0,136.5,138.0,138.0,21942,1.0
2019-02-15,138.0,139.0,136.0,138.0,138.0,41277,1.0
2019-02-18,139.5,142.0,138.5,142.0,142.0,33933,1.0
2019-02-19,140.5,143.0,140.0,142.0,142.0,12296,1.0
2019-02-20,143.0,144.0,138.5,139.0,139.0,11366,1.0
2019-02-21,139.0,139.0,133.0,133.5,133.5,28833,1.0
2019-02-22,135.0,140.5,135.0,139.5,139.5,82018,1.0
2019-02-25,143.0,144.0,139.5,144.0,144.0,42837,1.0
2019-02-26,144.5,148.0,144.0,145.5,145.5,19864,1.0
2019-02-27,144.5,144.5,139.5,140.0,140.0,20365,1.0
2019-02-28,140.0,143.0,138.5,140.0,140.0,16234,1.0
2019-03-01,140.5,143.0,140.5,141.0,141.0,18306,1.0
2019-03-04,143.5,144.5,142.0,142.5,142.5,59652,1.0
2019-03-05,142.5,147.5,141.5,145.0,145.0,29773,1.0
2019-03-06,148.5,149.0,146.0,146.0,146.0,60067,1.0
2019-03-07,148.0,149.5,142.5,144.5,144.5,12809,1.0
2019-03-08,142.5,142.5,139.5,140.0,140.0,18469,1.0
2019-03-11,139.0,139.0,133.0,136.5,136.5,32727,1.0
2019-03-12,137.5,139.0,135.0,138.0,138.0,24622,1.0
2019-03-13,136.5,137.0,135.0,135.0,135.0,14838,1.0
2019-03-14,132.5,136.0,132.5,135.5,135.5,57814,1.0
2019-03-15,135.5,143.0,135.5,140.0,140.0,59980,1.0
2019-03-18,142.5,148.5,140.5,148.5,148.5,20155,1.0
2019-03-19,149.5,149.5,143.0,143.0,143.0,26270,1.0
2019-03-20,142.5,144.5,142.0,142.5,142.5,30343,1.0
2019-03-21,142.5,144.5,142.0,143.5,143.5,12207,1.0
2019-03-22,142.5,143.5,135.5,135.5,135.5,21219,1.0
2019-03-25,135.5,135.5,130.0,133.0,133.0,14817,1.0
2019-03-26,132.5,133.0,130.5,133.0,133.0,10492,1.0
2019-03-27,132.5,135.0,131.5,133.0,133.0,6945,1.0
