Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,1.0998,2.176,1.0902,1.998,1.998,5809215,1.0
2019-01-03,1.9996,1.9996,1.545,1.9,1.9,3031404,1.0
2019-01-04,1.85,1.85,1.62,1.71,1.71,894933,1.0
2019-01-07,1.71,1.71,1.5498,1.64,1.64,951907,1.0
2019-01-08,1.65,1.689,1.59,1.6144,1.6144,292671,1.0
2019-01-09,1.64,2.0,1.63,1.89,1.89,1924500,1.0
2019-01-10,1.8902,2.099,1.8502,2.002,2.002,1425345,1.0
2019-01-11,2.002,2.4,2.002,2.0545,2.0545,3940575,1.0
2019-01-14,2.0545,2.2845,2.0545,2.1515,2.1515,2489911,1.0
2019-01-15,2.2045,2.25,1.98,2.0,2.0,1809232,1.0
2019-01-16,2.0,2.0495,1.87,1.9,1.9,603769,1.0
2019-01-17,1.96,1.965,1.8,1.8998,1.8998,385850,1.0
2019-01-18,1.9,1.9898,1.8226,1.9,1.9,479924,1.0
2019-01-21,1.8998,1.8998,1.76,1.86,1.86,407572,1.0
2019-01-22,1.85,1.86,1.76,1.8348,1.8348,286805,1.0
2019-01-23,1.8348,1.835,1.7042,1.7628,1.7628,157677,1.0
2019-01-24,1.78,1.8,1.68,1.763,1.763,168071,1.0
2019-01-25,1.7,1.86,1.7,1.8,1.8,268999,1.0
2019-01-28,1.84,1.93,1.81,1.9,1.9,417558,1.0
2019-01-29,1.9,1.9016,1.7312,1.85,1.85,334807,1.0
2019-01-30,1.85,1.85,1.7004,1.775,1.775,132485,1.0
2019-01-31,1.8,1.8798,1.8,1.84,1.84,315042,1.0
2019-02-01,1.86,1.87,1.801,1.855,1.855,122626,1.0
2019-02-04,1.82,1.859,1.81,1.8498,1.8498,70011,1.0
2019-02-05,1.75,1.8388,1.75,1.8388,1.8388,174334,1.0
2019-02-06,1.8388,1.8388,1.77,1.825,1.825,166796,1.0
2019-02-07,1.8298,1.85,1.8,1.8298,1.8298,57539,1.0
2019-02-08,1.83,1.92,1.7602,1.8298,1.8298,98779,1.0
2019-02-11,1.8296,1.86,1.78,1.85,1.85,169670,1.0
2019-02-12,1.67,1.72,1.4,1.7198,1.7198,569357,1.0
2019-02-13,1.7198,1.8898,1.66,1.82,1.82,690235,1.0
2019-02-14,1.8202,1.8252,1.78,1.8096,1.8096,130258,1.0
2019-02-15,1.8096,1.864,1.7604,1.8222,1.8222,112705,1.0
2019-02-18,1.822,1.822,1.7602,1.8192,1.8192,80328,1.0
2019-02-19,1.819,1.8192,1.7802,1.8192,1.8192,53223,1.0
2019-02-20,1.8178,1.818,1.7702,1.818,1.818,93654,1.0
2019-02-21,1.8,1.818,1.739,1.809,1.809,253591,1.0
2019-02-22,1.7998,1.81,1.76,1.8,1.8,68034,1.0
2019-02-25,1.795,1.8178,1.76,1.796,1.796,187628,1.0
2019-02-26,1.7604,1.8178,1.7604,1.8082,1.8082,109667,1.0
