Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,1.51,1.59,1.5,1.58,1.58,138185,1.0
2019-01-03,1.59,1.59,1.55,1.56,1.56,110741,1.0
2019-01-04,1.552,1.59,1.55,1.59,1.59,74328,1.0
2019-01-07,1.602,1.65,1.6,1.6,1.6,213252,1.0
2019-01-08,1.648,1.648,1.596,1.596,1.596,79076,1.0
2019-01-09,1.612,1.646,1.5,1.55,1.55,178038,1.0
2019-01-10,1.58,1.608,1.58,1.59,1.59,64249,1.0
2019-01-11,1.6,1.6,1.55,1.576,1.576,57713,1.0
2019-01-14,1.502,1.576,1.502,1.566,1.566,30085,1.0
2019-01-15,1.566,1.596,1.55,1.58,1.58,26141,1.0
2019-01-16,1.58,1.582,1.534,1.566,1.566,62360,1.0
2019-01-17,1.566,1.59,1.56,1.572,1.572,22874,1.0
2019-01-18,1.58,1.588,1.55,1.564,1.564,59036,1.0
2019-01-21,1.58,1.58,1.55,1.55,1.55,63250,1.0
2019-01-22,1.548,1.578,1.53,1.552,1.552,38231,1.0
2019-01-23,1.556,1.56,1.52,1.52,1.52,110136,1.0
2019-01-24,1.52,1.58,1.52,1.55,1.55,88150,1.0
2019-01-25,1.58,1.58,1.55,1.58,1.58,44082,1.0
2019-01-28,1.586,1.644,1.55,1.58,1.58,77286,1.0
2019-01-29,1.582,1.61,1.55,1.61,1.61,153219,1.0
2019-01-30,1.608,1.614,1.56,1.586,1.586,53692,1.0
2019-01-31,1.588,1.588,1.53,1.54,1.54,132038,1.0
2019-02-01,1.55,1.58,1.502,1.514,1.514,236630,1.0
2019-02-04,1.512,1.58,1.5,1.544,1.544,531792,1.0
2019-02-05,1.544,1.56,1.5,1.5,1.5,122748,1.0
2019-02-06,1.52,1.568,1.5,1.54,1.54,56863,1.0
2019-02-07,1.542,1.56,1.5,1.548,1.548,84077,1.0
2019-02-08,1.55,1.59,1.542,1.58,1.58,220641,1.0
2019-02-11,1.592,1.592,1.52,1.53,1.53,61436,1.0
2019-02-12,1.55,1.57,1.52,1.54,1.54,65428,1.0
2019-02-13,1.568,1.61,1.536,1.566,1.566,189919,1.0
2019-02-14,1.566,1.57,1.55,1.55,1.55,31423,1.0
2019-02-15,1.548,1.59,1.54,1.59,1.59,74125,1.0
2019-02-18,1.592,1.592,1.5,1.528,1.528,287735,1.0
2019-02-19,1.576,1.608,1.53,1.56,1.56,132317,1.0
2019-02-20,1.598,1.598,1.49,1.51,1.51,374238,1.0
2019-02-21,1.502,1.52,1.5,1.518,1.518,147039,1.0
2019-02-22,1.518,1.538,1.48,1.538,1.538,235523,1.0
2019-02-25,1.538,1.568,1.5,1.52,1.52,99772,1.0
2019-02-26,1.522,1.54,1.494,1.522,1.522,93431,1.0
2019-02-27,1.502,1.522,1.4,1.48,1.48,251011,1.0
2019-02-28,1.474,1.518,1.468,1.508,1.508,114908,1.0
2019-03-01,1.51,1.516,1.472,1.48,1.48,185084,1.0
2019-03-04,1.482,1.55,1.482,1.5,1.5,277099,1.0
2019-03-05,1.5,1.528,1.46,1.49,1.49,173439,1.0
2019-03-06,1.5,1.518,1.462,1.492,1.492,141252,1.0
2019-03-07,1.49,1.61,1.49,1.6,1.6,562257,1.0
2019-03-08,1.598,1.6,1.532,1.55,1.55,174215,1.0
2019-03-11,1.552,1.598,1.55,1.59,1.59,98136,1.0
2019-03-12,1.592,1.62,1.56,1.582,1.582,204769,1.0
2019-03-13,1.622,1.648,1.506,1.52,1.52,509231,1.0
2019-03-14,1.52,1.56,1.52,1.53,1.53,172232,1.0
2019-03-15,1.53,1.588,1.53,1.55,1.55,221085,1.0
2019-03-18,1.56,1.586,1.55,1.57,1.57,236086,1.0
2019-03-19,1.568,1.6,1.548,1.6,1.6,391470,1.0
2019-03-20,1.59,1.612,1.562,1.61,1.61,441666,1.0
2019-03-21,1.61,1.61,1.562,1.6,1.6,44165,1.0
2019-03-22,1.59,1.59,1.562,1.588,1.588,50312,1.0
2019-03-25,1.586,1.608,1.55,1.6,1.6,149487,1.0
2019-03-26,1.6,1.612,1.56,1.6,1.6,94975,1.0
2019-03-27,1.61,1.61,1.5,1.564,1.564,763218,1.0
2019-03-28,1.532,1.548,1.5,1.532,1.532,79107,1.0
2019-03-29,1.532,1.548,1.5,1.5,1.5,172716,1.0
2019-04-01,1.522,1.548,1.512,1.514,1.514,55464,1.0
2019-04-02,1.51,1.518,1.5,1.5,1.5,104270,1.0
2019-04-03,1.498,1.52,1.498,1.518,1.518,71560,1.0
2019-04-04,1.52,1.544,1.502,1.544,1.544,123674,1.0
2019-04-05,1.544,1.544,1.51,1.54,1.54,65225,1.0
2019-04-08,1.538,1.538,1.52,1.52,1.52,107705,1.0
2019-04-09,1.524,1.544,1.52,1.53,1.53,91459,1.0
2019-04-10,1.542,1.59,1.542,1.562,1.562,490593,1.0
2019-04-11,1.588,1.59,1.532,1.54,1.54,236714,1.0
2019-04-12,1.54,1.57,1.54,1.564,1.564,152571,1.0
2019-04-15,1.568,1.584,1.542,1.582,1.582,136026,1.0
2019-04-16,1.6,1.61,1.558,1.572,1.572,208419,1.0
2019-04-17,1.58,1.598,1.57,1.598,1.598,65782,1.0
2019-04-18,1.598,1.598,1.566,1.566,1.566,59581,1.0
2019-04-23,1.568,1.598,1.568,1.574,1.574,71984,1.0
2019-04-24,1.574,1.574,1.55,1.572,1.572,103106,1.0
2019-04-25,1.574,1.59,1.55,1.55,1.55,50104,1.0
2019-04-26,1.522,1.57,1.522,1.55,1.55,61915,1.0
2019-04-29,1.552,1.582,1.55,1.55,1.55,113848,1.0
2019-04-30,1.55,1.568,1.53,1.566,1.566,28292,1.0
2019-05-02,1.59,1.59,1.53,1.53,1.53,123035,1.0
2019-05-03,1.562,1.58,1.54,1.548,1.548,201207,1.0
2019-05-06,1.558,1.594,1.524,1.56,1.56,211738,1.0
2019-05-07,1.584,1.584,1.542,1.552,1.552,72762,1.0
2019-05-08,1.59,1.59,1.51,1.51,1.51,288425,1.0
2019-05-09,1.522,1.568,1.51,1.53,1.53,250128,1.0
2019-05-10,1.532,1.57,1.53,1.55,1.55,151893,1.0
2019-05-13,1.552,1.57,1.53,1.53,1.53,80445,1.0
2019-05-14,1.568,1.568,1.53,1.564,1.564,119198,1.0
