Date,Open,High,Low,Close,Adj Close,Volume,ratio
2019-01-02,1.25026,1.36606,1.2213100000000001,1.36606,1.36606,710092,1.0
2019-01-03,1.35701,1.40044,1.31178,1.3932,1.3932,654041,1.0
2019-01-04,1.3733,1.40225,1.34254,1.3769200000000001,1.3769200000000001,544791,1.0
2019-01-07,1.3932,1.4655799999999999,1.3479700000000001,1.4474799999999999,1.4474799999999999,456755,1.0
2019-01-08,1.4474799999999999,1.4474799999999999,1.40225,1.42034,1.42034,380753,1.0
2019-01-09,1.4474799999999999,1.47462,1.41129,1.4565299999999999,1.4565299999999999,598558,1.0
2019-01-10,1.47281,1.47281,1.42939,1.42939,1.42939,435012,1.0
2019-01-11,1.4565299999999999,1.53795,1.4384299999999999,1.47462,1.47462,582502,1.0
2019-01-14,1.509,1.547,1.46015,1.52528,1.52528,505853,1.0
2019-01-15,1.53433,1.58318,1.50176,1.53795,1.53795,518796,1.0
2019-01-16,1.53614,1.53614,1.4511,1.48367,1.48367,269626,1.0
2019-01-17,1.49272,1.57233,1.4655799999999999,1.509,1.509,1007263,1.0
2019-01-18,1.5,1.508,1.37,1.484,1.484,1062454,1.0
2019-01-21,1.488,1.548,1.43,1.466,1.466,556077,1.0
2019-01-22,1.47,1.478,1.33,1.352,1.352,746180,1.0
2019-01-23,1.358,1.42,1.354,1.41,1.41,895571,1.0
2019-01-24,1.42,1.43,1.39,1.392,1.392,514315,1.0
2019-01-25,1.432,1.432,1.38,1.408,1.408,740078,1.0
2019-01-28,1.428,1.428,1.36,1.37,1.37,484277,1.0
2019-01-29,1.376,1.39,1.37,1.378,1.378,353127,1.0
2019-01-30,1.394,1.396,1.364,1.368,1.368,647111,1.0
2019-01-31,1.388,1.428,1.372,1.416,1.416,805439,1.0
2019-02-01,1.418,1.42,1.38,1.4,1.4,566155,1.0
2019-02-04,1.442,1.442,1.374,1.392,1.392,715603,1.0
2019-02-05,1.434,1.434,1.368,1.398,1.398,990410,1.0
2019-02-06,1.398,1.398,1.36,1.398,1.398,364923,1.0
2019-02-07,1.398,1.398,1.36,1.382,1.382,374842,1.0
2019-02-08,1.382,1.382,1.35,1.38,1.38,752975,1.0
2019-02-11,1.36,1.378,1.28,1.334,1.334,1326139,1.0
2019-02-12,1.382,1.382,1.314,1.332,1.332,345532,1.0
